category,file,primary_source,notes
executive,pm_tenure.csv,"gov.uk / Wikipedia, author-compiled","Author-verified, not source-verified per-row (no per-row URL). See README ""NOT YET DONE""."
executive,great_officers.csv,"gov.uk / Wikipedia, author-compiled","Same caveat as pm_tenure.csv."
executive,cabinet_annual_departures.csv,"Derived from great_officers.csv / appointment records","Annual departure counts, computed."
executive,great_officers_annual_departures.csv,"Derived from great_officers.csv","Annual departure counts, computed."
executive,appointment.csv,"Institute for Government (IfG) ministers database","Raw IfG appointment records."
executive,person.csv,"Institute for Government (IfG) ministers database","Raw IfG person records."
executive,post.csv,"Institute for Government (IfG) ministers database","Raw IfG post records."
executive,appointment_characteristics.csv,"Institute for Government (IfG) ministers database","Raw IfG appointment metadata."
electoral,marss_ge_pedersen.csv,"General election results, all parties, Pedersen index computed","Input to the electoral-volatility MARSS latent."
electoral,marss_local_pedersen.csv,"Local election results, Pedersen index computed","Input to the MARSS latent; subject to protest-voting overstatement, see chapter text."
electoral,marss_poll_volatility.csv,"Opinion poll shares, Pedersen index computed","Input to the MARSS latent."
electoral,volatility_index_pca_input.csv,"MARSS latent, derived","Output of the individual-anchored state-space model; this is `elect_vol` in the canonical composite."
electoral,switching_recall_1979_2024.csv,"British Election Study (BES) recall/panel data","Fieldhouse et al. 2019; individual-level switching."
electoral,aggregate_volatility_index.csv,"Derived, all-party Pedersen aggregate","Figure 2.6 panel A/B/C source."
electoral,robust_ge_pedersen_8v4_FIXED.csv,"General election results, 8-party vs 4-bloc coding","Robustness comparison, RC01 in the robustness appendix."
electoral,canada_volatility_computed.csv,"Canadian federal election results, Pedersen index computed","Comparative panel, Figure 2.7."
electoral,australia_volatility_computed.csv,"Australian federal election results, Pedersen index computed","Comparative panel, Figure 2.7."
electoral,emanuele_tv_western_europe_1945_2025.csv,"Emanuele (Chiaramonte & Emanuele 2022) party-system dataset","20-country European comparator, Figure 2.7 panel C."
electoral,uk_ge_voteshare_1945_1979.csv,"UK general election results, official","Pre-1979 extension for comparative checks."
public_opinion,ipsos_issues_index_monthly_1974_2026_mapped.csv,"Ipsos Issues Index (Most Important Problem), monthly","Primary source for Figures 2.8 and 2.9."
public_opinion,agenda_indices_annual.csv,"Derived from Ipsos Issues Index","ENI/KL churn measures, Figure 2.8."
public_opinion,all_items_expected.csv,"Ipsos Issues Index + real-world indicator series (ONS, DWP, Nationwide etc., one per domain)","Item-level worry/actual pairs; see the appendix's domain-inclusion table for each domain's specific real-world source."
public_opinion,all_items_tracking_stats.csv,"Derived","Per-domain r/R^2 tracking-fit statistics."
public_opinion,composite_item_residuals.csv,"Derived","Per-item z-scored residuals feeding the unexpected-movements composite."
public_opinion,composite_unexpected_index.csv,"Derived","The `unexpected` component of the canonical composite; Figure 2.9 panel B."
parliament,rebellions_annual.csv,"Cowley & Stuart backbench rebellion data (Norton, Cowley)","Corrected against Cowley's own published rate, 1979-1996; Public Whip / Commons division data 1997+."
parliament,lords_defeats_annual.csv,"Derived, session-to-year annualisation of official Lords defeats","See README caveat on step-carry annualisation of two-year sessions."
parliament,lords_defeats_by_session_official.csv,"UK Parliament (parliament.uk), official Lords defeats by session","Raw official series before annualisation."
parliament,three_way_pca.csv,"Derived","Rebellion rate + disruption index + Lords defeats, combined via PCA; Figure 2.10 panel D."
parliament,parliamentary_dislocation_index.csv,"Derived","PC1 output of three_way_pca.csv; `dislocation` in the canonical composite."
policy,departmental_churn_1979_2025.csv,"White & Dunleavy (2010) machinery-of-government dataset + gov.uk organisations register","Verified against both sources; 3 corrections applied pre-2002, see EVENT_VERIFICATION.md."
policy,departmental_events.csv,"White & Dunleavy (2010) + gov.uk organisations register","Underlying event-level department creation/abolition records."
policy,uturns_series.csv,"Coded from The Annual Register, UK/Scotland/Wales/Northern Ireland chapters, 1979-2025","Author-coded; full coding protocol in CODING_PROTOCOL.md (not in this mirror)."
nao,nao_final.csv,"National Audit Office value-for-money reports, 1984-2025","Coded from full report text (LLM-assisted, see NAO_CODING_METHOD.md, not in this mirror)."
nao,nao_counts.csv,"Derived from nao_final.csv","Annual report-count denominator, Figure 2.13's supporting table."
nao,fig213_computed_values.csv,"Derived","Computed values feeding Figure 2.13."
nao,wgi_goveff_uk.csv,"World Bank Worldwide Governance Indicators (WGI), Government Effectiveness, UK, 1996-2024","Kaufmann & Kraay 2024."
composite,canonical_pc1_1979_2025.csv,"Derived, PCA of the six components above","See CANONICAL_COMPOSITE.md (not in this mirror) for the full specification and leave-one-out robustness."
composite,chapter_wide_shapes.csv,"Derived","Per-series shape-test results (flat/linear/step/curved), feeds the shapes table."
