spec,equation,term,estimate,std_error,statistic,p_value,se_type
baseline,trust,prof_lag2,-1.119009206247565,0.5823393876331401,-1.9215756825167973,0.061302971189638095,OLS
baseline,outcome_direct,prof_lag2,0.4809653146922314,0.1130109134694364,4.25591918449812,1.1798116409726556e-4,OLS
baseline,outcome_direct,prof2,0.2838485240451114,0.07721305940497421,3.676172479532981,6.803044127964091e-4,OLS
baseline,outcome_direct,trust_lag1,0.004520838942743649,0.02945527843567109,0.1534814533366895,0.8787715564373952,OLS
baseline,outcome_total,prof_lag2,0.4751573863967386,0.10524200184087341,4.514902587231091,5.0561055049994456e-5,OLS
baseline,outcome_total,prof2,0.2797809115955281,0.07167432168213898,3.90350274727816,3.373541721628673e-4,OLS
baseline,trust,prof_lag2,-1.119009206247565,0.7811929612361874,-1.4324363656282888,0.15924906911190434,HAC
baseline,outcome_direct,prof_lag2,0.4809653146922314,0.12024737488228827,3.9997988743043633,2.5865756123863215e-4,HAC
baseline,outcome_direct,prof2,0.2838485240451114,0.08098459083871892,3.504969539333682,0.001119995541803723,HAC
baseline,outcome_direct,trust_lag1,0.004520838942743649,0.036860460565830845,0.12264738078000051,0.9029855619493994,HAC
baseline,outcome_total,prof_lag2,0.4751573863967386,0.11647381205246786,4.079521207588662,1.9716370636995912e-4,HAC
baseline,outcome_total,prof2,0.2797809115955281,0.06807408484015982,4.109947452873774,1.7953332589407678e-4,HAC
trend_adjusted,trust,prof_lag2,-3.7908873760534947,4.774831575283452,-0.7939311190946988,0.4318068210819671,OLS
trend_adjusted,outcome_direct,prof_lag2,-0.8556523560543158,0.9954932420186305,-0.8595260318585893,0.3953031033003709,OLS
trend_adjusted,outcome_direct,prof2,0.22218986045630354,0.35030878827592266,0.6342685878645284,0.5296086682685452,OLS
trend_adjusted,outcome_direct,trust_lag1,0.004805479862716892,0.032517216829301435,0.14778263121174162,0.883275729491176,OLS
trend_adjusted,outcome_total,prof_lag2,-0.888823966517103,0.9579256303837009,-0.9278632268781462,0.3590438577094349,OLS
trend_adjusted,outcome_total,prof2,0.24031086558981887,0.3241103587662536,0.7414476553744757,0.46275322861886825,OLS
trend_adjusted,trust,prof_lag2,-3.7908873760534947,4.04606805908302,-0.936931193617302,0.3542804269029538,HAC
trend_adjusted,outcome_direct,prof_lag2,-0.8556523560543158,1.1208205587422997,-0.7634160074780073,0.4498090357345197,HAC
trend_adjusted,outcome_direct,prof2,0.22218986045630354,0.40218171382075213,0.5524613696268923,0.5837849337376543,HAC
trend_adjusted,outcome_direct,trust_lag1,0.004805479862716892,0.03963435277552729,0.12124532195424403,0.904119276607579,HAC
trend_adjusted,outcome_total,prof_lag2,-0.888823966517103,1.108302802412238,-0.8019685275382901,0.4273100940781175,HAC
trend_adjusted,outcome_total,prof2,0.24031086558981887,0.39437254371077213,0.6093498886323584,0.545738337564516,HAC
first_difference,trust,d_prof_lag2,-2.7654274616842165,6.609925148105499,-0.4183750042126919,0.6778045796980372,OLS
first_difference,outcome_direct,d_prof_lag2,-1.6438343227474772,0.9752675982005153,-1.6855213131047797,0.09948555088481775,OLS
first_difference,outcome_direct,d_trust_lag1,-0.043236124927942265,0.022719538991308887,-1.9030370706237383,0.06407343157907051,OLS
first_difference,outcome_total,d_prof_lag2,-1.524267955534936,1.0031557867201033,-1.519472823377364,0.1361363749434952,OLS
first_difference,trust,d_prof_lag2,-2.7654274616842165,6.060401910347418,-0.4563109019160226,0.6505174037234595,HAC
first_difference,outcome_direct,d_prof_lag2,-1.6438343227474772,0.7485987315635624,-2.195881790120161,0.033814611414897555,HAC
first_difference,outcome_direct,d_trust_lag1,-0.043236124927942265,0.029806860448166914,-1.450542736734329,0.15451523195253503,HAC
first_difference,outcome_total,d_prof_lag2,-1.524267955534936,0.7540035586312829,-2.021565996720079,0.049623404275252476,HAC
