"parliament","start","end","pm","gov_type","defeats","notes","duration_years","defeats_py","era","majority_govt"
"1945-50",1945-07-26,1950-02-23,"Attlee","majority",0,"",4.58042436687201,0,"1945-2013",TRUE
"1950-51",1950-02-23,1951-10-26,"Attlee","majority (tiny)",0,"majority of 5",1.67008898015058,0,"1945-2013",FALSE
"1951-55",1951-10-26,1955-04-06,"Churchill","majority",0,"",3.44421629021218,0,"1945-2013",TRUE
"1955-59",1955-04-06,1959-10-08,"Eden/Macmillan","majority",0,"",4.50650239561944,0,"1945-2013",TRUE
"1959-64",1959-10-08,1964-10-15,"Macmillan/D-Home","majority",0,"",5.02121834360027,0,"1945-2013",TRUE
"1964-66",1964-10-15,1966-03-31,"Wilson","majority (tiny)",0,"majority of 4",1.45653661875428,0,"1945-2013",FALSE
"1966-70",1966-03-31,1970-06-18,"Wilson","majority",0,"",4.21629021218344,0,"1945-2013",TRUE
"1970-74",1970-06-18,1974-02-28,"Heath","majority",6,"",3.69883641341547,1.62213175425611,"1945-2013",TRUE
"Feb-Oct 1974",1974-02-28,1974-10-10,"Wilson","minority",NA,"minority govt — defeats not comparable",0.613278576317591,NA,"1945-2013",FALSE
"1974-79",1974-10-10,1979-05-03,"Wilson/Callaghan","minority/tiny",42,"lost confidence vote 1979",4.56125941136208,9.20798319327731,"1945-2013",FALSE
"1979-83",1979-05-03,1983-06-09,"Thatcher","majority",0,"",4.10130047912389,0,"1945-2013",TRUE
"1983-87",1983-06-09,1987-06-11,"Thatcher","majority",0,"",4.00547570157426,0,"1945-2013",TRUE
"1987-92",1987-06-11,1992-04-09,"Thatcher/Major","majority",1,"",4.82956878850103,0.207057823129252,"1945-2013",TRUE
"1992-97",1992-04-09,1997-05-01,"Major","majority",4,"ERM crisis eroded authority",5.05954825462012,0.790584415584416,"1945-2013",TRUE
"1997-2001",1997-05-01,2001-06-07,"Blair","majority",0,"",4.10130047912389,0,"1945-2013",TRUE
"2001-05",2001-06-07,2005-05-05,"Blair","majority",1,"foundation hospitals",3.90965092402464,0.25577731092437,"1945-2013",TRUE
"2005-10",2005-05-05,2010-05-06,"Blair/Brown","majority",6,"90-day detention defeated",5.00205338809035,1.19950738916256,"1945-2013",TRUE
"2010-15",2010-05-06,2015-05-07,"Cameron (coalition)","coalition",6,"",5.00205338809035,1.19950738916256,"1945-2013",TRUE
"2015-17",2015-05-07,2017-06-08,"Cameron/May","majority",0,"",2.08898015058179,0,"Post-2014",TRUE
"2017-19",2017-06-08,2019-12-12,"May","minority",33,"record defeats — mainly Brexit",2.51060917180014,13.1442202835333,"Post-2014",FALSE
"2019-24",2019-12-12,2024-07-04,"Johnson/Truss/Sunak","majority",17,"approx; includes COVID/Rwanda votes",4.56125941136208,3.72704081632653,"Post-2014",TRUE
