financial_year,cal_year,n_mps,mean_staffing_nominal,mean_staffing_real_2015,election_year_filter
11-12,2012,651,105442.0,110925.0,False
12-13,2013,655,116383.0,119100.0,False
13-14,2014,650,123827.0,125255.0,False
14-15,2015,650,127371.0,127371.0,False
15-16,2016,648,119850.0,117614.0,True
16-17,2017,655,129339.0,122802.0,False
17-18,2018,647,129935.0,119695.0,True
18-19,2019,650,140393.0,126450.0,False
19-20,2020,648,132536.0,118360.0,True
20-21,2021,650,162766.0,139894.0,False
21-22,2022,655,169778.0,131328.0,False
22-23,2023,655,185551.0,131182.0,False
23-24,2024,658,201010.0,137313.0,False
