year,n_total_departures,n_standalone_thr3,n_standalone_thr5,n_standalone_thr10,n_active_ministers,total_rate_pct,standalone_rate_pct
1979,0,0,0,0,109,0,0
1980,1,1,1,1,109,0.9174311926605505,0.9174311926605505
1981,27,3,4,6,108,25,3.7037037037037037
1982,8,4,4,8,110,7.2727272727272725,3.6363636363636362
1983,9,2,2,2,104,8.653846153846153,1.9230769230769231
1984,16,3,3,6,104,15.384615384615385,2.8846153846153846
1985,12,4,5,5,109,11.009174311926605,4.587155963302752
1986,15,2,3,5,109,13.761467889908257,2.7522935779816513
1987,3,3,3,3,108,2.7777777777777777,2.7777777777777777
1988,11,1,1,4,107,10.280373831775702,0.9345794392523364
1989,19,4,5,8,109,17.431192660550458,4.587155963302752
1990,24,6,8,14,110,21.818181818181817,7.2727272727272725
1991,2,1,2,2,111,1.8018018018018018,1.8018018018018018
1992,4,4,4,4,110,3.6363636363636362,3.6363636363636362
1993,8,1,2,4,110,7.2727272727272725,1.8181818181818181
1994,22,4,5,5,110,20,4.545454545454546
1995,21,6,7,12,113,18.58407079646018,6.1946902654867255
1996,6,2,4,4,114,5.2631578947368425,3.508771929824561
1997,2,2,2,2,117,1.7094017094017093,1.7094017094017093
1998,23,4,5,5,120,19.166666666666668,4.166666666666667
1999,30,6,6,14,126,23.80952380952381,4.761904761904762
2000,1,1,1,1,115,0.8695652173913043,0.8695652173913043
2001,2,1,2,2,119,1.680672268907563,1.680672268907563
2002,8,0,0,1,120,6.666666666666667,0
2003,27,10,10,15,125,21.6,8
2004,4,2,3,3,124,3.225806451612903,2.4193548387096775
2005,1,0,1,1,121,0.8264462809917356,0.8264462809917356
2006,13,3,3,3,123,10.56910569105691,2.4390243902439024
2007,6,6,6,6,145,4.137931034482759,4.137931034482759
2008,31,4,4,8,146,21.232876712328768,2.73972602739726
2009,30,9,12,12,161,18.633540372670808,7.453416149068323
2010,2,2,2,2,131,1.5267175572519085,1.5267175572519085
2011,5,4,5,5,131,3.816793893129771,3.816793893129771
2012,37,3,3,3,130,28.46153846153846,2.3076923076923075
2013,25,3,10,10,137,18.248175182481752,7.299270072992701
2014,34,6,11,13,140,24.285714285714285,7.857142857142857
2015,2,2,2,2,137,1.4598540145985401,1.4598540145985401
2016,10,8,10,10,141,7.092198581560283,7.092198581560283
2017,39,12,12,14,134,29.104477611940297,8.955223880597014
2018,36,13,21,23,139,25.899280575539567,15.107913669064748
2019,32,20,26,26,138,23.18840579710145,18.840579710144926
2020,31,6,7,8,147,21.08843537414966,4.761904761904762
2021,26,7,8,8,143,18.181818181818183,5.594405594405594
2022,53,10,11,19,144,36.80555555555556,7.638888888888889
2023,32,9,12,13,142,22.535211267605632,8.450704225352112
2024,6,4,4,6,144,4.166666666666667,2.7777777777777777
2025,41,8,12,12,143,28.67132867132867,8.391608391608392
