year,n_criminal,n_censure,n_standards,n_total,n_cumulative
1979,0,0,0,0,0
1980,0,0,0,0,0
1981,0,0,0,0,0
1982,0,0,0,0,0
1983,0,0,0,0,0
1984,0,0,0,0,0
1985,0,0,0,0,0
1986,0,0,0,0,0
1987,0,0,0,0,0
1988,0,0,0,0,0
1989,0,0,0,0,0
1990,0,0,0,0,0
1991,0,0,0,0,0
1992,0,0,0,0,0
1993,0,0,0,0,0
1994,0,0,0,0,0
1995,0,0,0,0,0
1996,0,0,0,0,0
1997,0,0,0,0,0
1998,0,0,0,0,0
1999,0,0,0,0,0
2000,0,0,0,0,0
2001,0,0,0,0,0
2002,0,0,0,0,0
2003,0,0,0,0,0
2004,0,0,0,0,0
2005,0,0,0,0,0
2006,0,0,0,0,0
2007,0,0,0,0,0
2008,0,0,0,0,0
2009,0,1,0,1,1
2010,0,0,0,0,1
2011,1,0,0,1,2
2012,1,0,0,1,3
2013,1,0,0,1,4
2014,0,1,0,1,5
2015,0,0,0,0,5
2016,0,0,0,0,5
2017,0,0,0,0,5
2018,0,0,0,0,5
2019,1,0,0,1,6
2020,0,0,0,0,6
2021,0,1,0,1,7
2022,1,1,0,2,9
2023,0,0,1,1,10
2024,0,0,0,0,10
2025,1,0,0,1,11
