year,membership,party
1930,250,Conservative
1935,950,Conservative
1946,910,Conservative
1953,2800,Conservative
1960,2300,Conservative
1965,2000,Conservative
1970,1400,Conservative
1975,1200,Conservative
1980,1100,Conservative
1985,900,Conservative
1990,750,Conservative
1994,400,Conservative
2002,273,Conservative
2005,250,Conservative
2008,250,Conservative
2010,175,Conservative
2013,134,Conservative
2014,150,Conservative
2018,124,Conservative
2019,180,Conservative
2022,172,Conservative
1930,300,Labour
1935,400,Labour
1945,500,Labour
1953,1000,Labour
1960,800,Labour
1965,750,Labour
1970,700,Labour
1975,650,Labour
1980,550,Labour
1985,300,Labour
1990,300,Labour
1997,400,Labour
2002,250,Labour
2005,200,Labour
2010,160,Labour
2013,190,Labour
2015,550,Labour
2016,570,Labour
2019,485,Labour
2022,432,Labour
2002,9,SNP
2007,13,SNP
2010,15,SNP
2013,25,SNP
2014,25,SNP
2015,110,SNP
2016,120,SNP
2017,118,SNP
2019,125,SNP
2022,104,SNP
