year,parliament,pm,rebellion_pct,era,period
1946,1945-50,Attlee,2.5,1945-2013,Pre-2014
1947,1945-50,Attlee,2.5,1945-2013,Pre-2014
1948,1945-50,Attlee,2.5,1945-2013,Pre-2014
1949,1945-50,Attlee,2.5,1945-2013,Pre-2014
1950,1950-51,Attlee,3,1945-2013,Pre-2014
1951,1950-51,Attlee,3,1945-2013,Pre-2014
1952,1951-55,Churchill,3.5,1945-2013,Pre-2014
1953,1951-55,Churchill,3.5,1945-2013,Pre-2014
1954,1951-55,Churchill,3.5,1945-2013,Pre-2014
1955,1955-59,Eden/Macmillan,4,1945-2013,Pre-2014
1956,1955-59,Eden/Macmillan,4,1945-2013,Pre-2014
1957,1955-59,Eden/Macmillan,4,1945-2013,Pre-2014
1958,1955-59,Eden/Macmillan,4,1945-2013,Pre-2014
1959,1955-59,Eden/Macmillan,4,1945-2013,Pre-2014
1960,1959-64,Macmillan/D-Home,5.5,1945-2013,Pre-2014
1961,1959-64,Macmillan/D-Home,5.5,1945-2013,Pre-2014
1962,1959-64,Macmillan/D-Home,5.5,1945-2013,Pre-2014
1963,1959-64,Macmillan/D-Home,5.5,1945-2013,Pre-2014
1964,1959-64,Macmillan/D-Home,5.5,1945-2013,Pre-2014
1965,1964-66,Wilson,6,1945-2013,Pre-2014
1966,1966-70,Wilson,9,1945-2013,Pre-2014
1967,1966-70,Wilson,9,1945-2013,Pre-2014
1968,1966-70,Wilson,9,1945-2013,Pre-2014
1969,1966-70,Wilson,9,1945-2013,Pre-2014
1970,1970-74,Heath,20,1945-2013,Pre-2014
1971,1970-74,Heath,20,1945-2013,Pre-2014
1972,1970-74,Heath,20,1945-2013,Pre-2014
1973,1970-74,Heath,20,1945-2013,Pre-2014
1975,1974-79,Wilson/Callaghan,21,1945-2013,Pre-2014
1976,1974-79,Wilson/Callaghan,21,1945-2013,Pre-2014
1977,1974-79,Wilson/Callaghan,21,1945-2013,Pre-2014
1978,1974-79,Wilson/Callaghan,21,1945-2013,Pre-2014
1979,1979-83,Thatcher,12,1945-2013,Pre-2014
1980,1979-83,Thatcher,12,1945-2013,Pre-2014
1981,1979-83,Thatcher,12,1945-2013,Pre-2014
1982,1979-83,Thatcher,12,1945-2013,Pre-2014
1983,1983-87,Thatcher,16,1945-2013,Pre-2014
1984,1983-87,Thatcher,16,1945-2013,Pre-2014
1985,1983-87,Thatcher,16,1945-2013,Pre-2014
1986,1983-87,Thatcher,16,1945-2013,Pre-2014
1987,1987-92,Thatcher/Major,12,1945-2013,Pre-2014
1988,1987-92,Thatcher/Major,12,1945-2013,Pre-2014
1989,1987-92,Thatcher/Major,12,1945-2013,Pre-2014
1990,1987-92,Thatcher/Major,12,1945-2013,Pre-2014
1991,1987-92,Thatcher/Major,12,1945-2013,Pre-2014
1992,1992-97,Major,13,1945-2013,Pre-2014
1993,1992-97,Major,13,1945-2013,Pre-2014
1994,1992-97,Major,13,1945-2013,Pre-2014
1995,1992-97,Major,13,1945-2013,Pre-2014
1996,1992-97,Major,13,1945-2013,Pre-2014
1997,1997-2001,Blair,8,1945-2013,Pre-2014
1998,1997-2001,Blair,8,1945-2013,Pre-2014
1999,1997-2001,Blair,8,1945-2013,Pre-2014
2000,1997-2001,Blair,8,1945-2013,Pre-2014
2001,2001-05,Blair,21,1945-2013,Pre-2014
2002,2001-05,Blair,21,1945-2013,Pre-2014
2003,2001-05,Blair,21,1945-2013,Pre-2014
2004,2001-05,Blair,21,1945-2013,Pre-2014
2005,2005-10,Blair/Brown,28,1945-2013,Pre-2014
2006,2005-10,Blair/Brown,28,1945-2013,Pre-2014
2007,2005-10,Blair/Brown,28,1945-2013,Pre-2014
2008,2005-10,Blair/Brown,28,1945-2013,Pre-2014
2009,2005-10,Blair/Brown,28,1945-2013,Pre-2014
2010,2010-15,Cameron (coalition),35,1945-2013,Pre-2014
2011,2010-15,Cameron (coalition),35,1945-2013,Pre-2014
2012,2010-15,Cameron (coalition),35,1945-2013,Pre-2014
2013,2010-15,Cameron (coalition),35,1945-2013,Pre-2014
2014,2010-15,Cameron (coalition),35,1945-2013,Post-2014
2015,2015-17,Cameron/May,29,Post-2014,Post-2014
2016,2015-17,Cameron/May,29,Post-2014,Post-2014
2017,2017-19,May,40,Post-2014,Post-2014
2018,2017-19,May,40,Post-2014,Post-2014
2019,2017-19,May,40,Post-2014,Post-2014
2020,2019-24,Johnson/Truss/Sunak,26,Post-2014,Post-2014
2021,2019-24,Johnson/Truss/Sunak,26,Post-2014,Post-2014
2022,2019-24,Johnson/Truss/Sunak,26,Post-2014,Post-2014
2023,2019-24,Johnson/Truss/Sunak,26,Post-2014,Post-2014
2024,2024-,Starmer,8.7,Post-2014,Post-2014
2025,2024-,Starmer,8.7,Post-2014,Post-2014
2026,2024-,Starmer,8.7,Post-2014,Post-2014
