year,n_scandal,n_active_ministers,scandal_rate_pct
1979,0,109,0
1980,0,109,0
1981,0,108,0
1982,0,110,0
1983,0,104,0
1984,0,104,0
1985,0,109,0
1986,0,109,0
1987,0,108,0
1988,0,107,0
1989,0,109,0
1990,0,110,0
1991,0,111,0
1992,0,110,0
1993,0,110,0
1994,2,110,1.8181818181818181
1995,0,113,0
1996,0,114,0
1997,0,117,0
1998,2,120,1.6666666666666667
1999,0,126,0
2000,0,115,0
2001,0,119,0
2002,0,120,0
2003,0,125,0
2004,0,124,0
2005,1,121,0.8264462809917356
2006,1,123,0.8130081300813008
2007,0,145,0
2008,1,146,0.684931506849315
2009,2,161,1.2422360248447204
2010,1,131,0.7633587786259542
2011,0,131,0
2012,0,130,0
2013,0,137,0
2014,0,140,0
2015,0,137,0
2016,0,141,0
2017,0,134,0
2018,0,139,0
2019,0,138,0
2020,0,147,0
2021,0,143,0
2022,0,144,0
2023,1,142,0.704225352112676
2024,0,144,0
2025,1,143,0.6993006993006993
