year,n_speeches,mean_self_ratio,se_self_ratio
1979,1491,0.428224610377947,0.004657761173395753
1980,1492,0.4267946018017477,0.0046101012288394215
1981,1488,0.41629646764592654,0.0045509734462136214
1982,1494,0.4217957103386091,0.004547227118918521
1983,1489,0.40598622008569885,0.0045423737261144495
1984,1488,0.4153365799707587,0.004562259281127399
1985,1494,0.41836411903419063,0.004501259331064202
1986,1495,0.42001353953498355,0.0045562702584402304
1987,1492,0.41654956198890514,0.004560943028544549
1988,1493,0.4143349620497363,0.004490153416507601
