year,n_speeches,mean_self_ratio,se_self_ratio,source
1979,1488,0.37895200052435885,0.004401140939640354,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
1980,1492,0.38390408909131313,0.004284240785045144,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
1981,1489,0.37756968827362236,0.004424535908157365,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
1982,1484,0.38340674865584506,0.004308085739058329,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
1983,1488,0.38617725228606203,0.004375869988832496,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
1984,1492,0.383841257925738,0.004371566348880865,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
1985,1495,0.37985301064707916,0.004333113327447058,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
1986,1495,0.38646505584199087,0.004240327359851722,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
1987,1492,0.3853654882062711,0.004313430544401474,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
1988,1495,0.3901292678697625,0.004154619413706738,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
1989,1496,0.37811750040924635,0.004344973474545387,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
1990,1495,0.378558755108595,0.004348611308468754,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
1991,1492,0.3882031139782411,0.004192609935032564,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
1992,1492,0.38797926713040126,0.0043521050233003315,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
1993,1496,0.38628274304537924,0.004094092926934264,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
1994,1491,0.38672210196818374,0.004257390821115962,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
1995,1496,0.38128046501748913,0.004341378897949283,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
1996,1488,0.37742687352507043,0.004360218252408447,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
1997,1493,0.3702792772589077,0.004375198091452874,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
1998,1495,0.37238577977206744,0.004258164648269822,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
1999,1492,0.371530015556931,0.004365557297704473,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
2000,1496,0.37539780369171905,0.004362101324340681,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
2001,1498,0.3531530233892155,0.0045635001628789,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
2002,1494,0.360742240464312,0.004381014858943344,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
2003,1493,0.3649357675154106,0.00435610281832108,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
2004,1497,0.3583189206171778,0.0045313514790874965,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
2005,1495,0.3629280965368075,0.004378219644782365,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
2006,1493,0.36643593360387233,0.004389344477828995,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
2007,1496,0.36641649069054544,0.004339822394107634,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
2008,1492,0.36199367405382815,0.0043517674655902325,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
2009,1495,0.3586872168195282,0.004406174972482914,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
2010,1493,0.3706968197827502,0.004281579999830972,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
2011,1495,0.3705375120580605,0.004272018309560398,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
2012,1481,0.3738586999263043,0.004295574445526259,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
2013,1493,0.37094582702690143,0.004268682257112817,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
2014,1491,0.3758604508401081,0.004252158212980333,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
2015,1489,0.36289429000703843,0.004437982619697435,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
2016,1497,0.36191671487028937,0.004320358517643899,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
2017,1490,0.371945828460285,0.004299884020532104,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
2018,1493,0.37538307146473693,0.004211316108790677,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
2019,1494,0.3818360066603039,0.004083138991589979,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
