year,n_speeches,mean_self_ratio,se_self_ratio,source
1979,1491,0.37156661841498806,0.004481897128463593,"Evan Odell dataset (parlparse), Chamber-only"
1980,1492,0.3847315958615438,0.004264352747321966,"Evan Odell dataset (parlparse), Chamber-only"
1981,1488,0.3743634807702785,0.0044194810716603325,"Evan Odell dataset (parlparse), Chamber-only"
1982,1494,0.383933493652881,0.004379369806456332,"Evan Odell dataset (parlparse), Chamber-only"
1983,1489,0.3707254111462891,0.004438509686837019,"Evan Odell dataset (parlparse), Chamber-only"
1984,1488,0.3816479497725519,0.004317171980432954,"Evan Odell dataset (parlparse), Chamber-only"
1985,1494,0.38528553292609513,0.004293882901084865,"Evan Odell dataset (parlparse), Chamber-only"
1986,1495,0.38149235764409917,0.004317522020305629,"Evan Odell dataset (parlparse), Chamber-only"
1987,1492,0.3818282458040995,0.00435063628385588,"Evan Odell dataset (parlparse), Chamber-only"
1988,1493,0.3819477260586208,0.004338279001281026,"Evan Odell dataset (parlparse), Chamber-only"
1989,1497,0.3858714016139161,0.004269869423782953,"Evan Odell dataset (parlparse), Chamber-only"
1990,1490,0.38409968351950496,0.00427674663110636,"Evan Odell dataset (parlparse), Chamber-only"
1991,1494,0.3940109441833443,0.004205885731348228,"Evan Odell dataset (parlparse), Chamber-only"
1992,1490,0.3828426097524005,0.004240151281993216,"Evan Odell dataset (parlparse), Chamber-only"
1993,1493,0.3946652975355548,0.004063647576259215,"Evan Odell dataset (parlparse), Chamber-only"
1994,1495,0.3745442616163646,0.00439311687928642,"Evan Odell dataset (parlparse), Chamber-only"
1995,1496,0.38140919559083425,0.004267545007392118,"Evan Odell dataset (parlparse), Chamber-only"
1996,1495,0.38343048160308973,0.0042174723837275175,"Evan Odell dataset (parlparse), Chamber-only"
1997,1491,0.3791588915281017,0.0043274401155810925,"Evan Odell dataset (parlparse), Chamber-only"
1998,1495,0.3734662313044164,0.004288016037077623,"Evan Odell dataset (parlparse), Chamber-only"
1999,1495,0.36280260898113753,0.004424455337802724,"Evan Odell dataset (parlparse), Chamber-only"
2000,1494,0.36529140315996844,0.004346055401214845,"Evan Odell dataset (parlparse), Chamber-only"
2001,1492,0.36333392996050223,0.00450431104952994,"Evan Odell dataset (parlparse), Chamber-only"
2002,1494,0.3784455466936992,0.004270527069777732,"Evan Odell dataset (parlparse), Chamber-only"
2003,1498,0.38107948475199693,0.004200817358733641,"Evan Odell dataset (parlparse), Chamber-only"
2004,1494,0.3739816136906433,0.00431979140741728,"Evan Odell dataset (parlparse), Chamber-only"
2005,1495,0.36737910509634103,0.004298438111720683,"Evan Odell dataset (parlparse), Chamber-only"
2006,1491,0.36565100960221686,0.004313743670680168,"Evan Odell dataset (parlparse), Chamber-only"
2007,1491,0.3845077083258105,0.004199685064940065,"Evan Odell dataset (parlparse), Chamber-only"
2008,1491,0.3675403603961846,0.004272162540818764,"Evan Odell dataset (parlparse), Chamber-only"
2009,1488,0.36759032859746105,0.004288932817954664,"Evan Odell dataset (parlparse), Chamber-only"
2010,1484,0.3865187396647976,0.0042159799812529165,"Evan Odell dataset (parlparse), Chamber-only"
2011,1483,0.37174338749122565,0.004200629799412289,"Evan Odell dataset (parlparse), Chamber-only"
2012,1485,0.37208028704092283,0.004239967889296241,"Evan Odell dataset (parlparse), Chamber-only"
2013,1491,0.3775039186855047,0.004244566497485079,"Evan Odell dataset (parlparse), Chamber-only"
2014,1489,0.3788158381292237,0.004162823940248312,"Evan Odell dataset (parlparse), Chamber-only"
2015,1490,0.38118943819705753,0.0042407447716164975,"Evan Odell dataset (parlparse), Chamber-only"
2016,1487,0.3796456664338602,0.00413463908644354,"Evan Odell dataset (parlparse), Chamber-only"
2017,1494,0.3827276754768067,0.004093850151332586,"Evan Odell dataset (parlparse), Chamber-only"
2018,1488,0.3916721684787262,0.003998920121626037,"Evan Odell dataset (parlparse), Chamber-only"
2019,1493,0.39273074358369187,0.004127179468917864,"Evan Odell dataset (parlparse), Chamber-only"
