year,n_speeches,mean_self_ratio,se_self_ratio,source
1979,1488,0.3789520005243589,0.00440114093964035,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
1980,1492,0.38390408909131313,0.00428424078504514,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
1981,1489,0.3775696882736224,0.00442453590815736,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
1982,1484,0.38340674865584506,0.00430808573905832,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
1983,1488,0.386177252286062,0.00437586998883249,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
1984,1492,0.383841257925738,0.00437156634888086,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
1985,1495,0.3798530106470792,0.00433311332744705,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
1986,1495,0.38646505584199087,0.00424032735985172,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
1987,1492,0.3853654882062711,0.00431343054440147,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
1988,1495,0.3901292678697625,0.00415461941370673,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
1989,1496,0.3781175004092463,0.00434497347454538,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
1990,1495,0.378558755108595,0.00434861130846875,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
1991,1492,0.3882031139782411,0.00419260993503256,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
1992,1492,0.38797926713040126,0.00435210502330033,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
1993,1496,0.3862827430453792,0.00409409292693426,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
1994,1491,0.38672210196818374,0.00425739082111596,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
1995,1496,0.38128046501748913,0.00434137889794928,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
1996,1488,0.37742687352507043,0.00436021825240844,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
1997,1493,0.3702792772589077,0.00437519809145287,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
1998,1495,0.37238577977206744,0.00425816464826982,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
1999,1492,0.371530015556931,0.00436555729770447,"Blumenau & Damiani (UCL/TheyWorkForYou), Chamber+Westminster Hall"
