year,n_speeches,mean_self_ratio,se_self_ratio,source
1979,1491,0.428224610377947,0.00465776117339575,"Evan Odell dataset (parlparse), Chamber-only"
1980,1492,0.4267946018017477,0.00461010122883942,"Evan Odell dataset (parlparse), Chamber-only"
1981,1488,0.41629646764592654,0.00455097344621362,"Evan Odell dataset (parlparse), Chamber-only"
1982,1494,0.4217957103386091,0.00454722711891852,"Evan Odell dataset (parlparse), Chamber-only"
1983,1489,0.4059862200856989,0.00454237372611444,"Evan Odell dataset (parlparse), Chamber-only"
1984,1488,0.4153365799707587,0.00456225928112739,"Evan Odell dataset (parlparse), Chamber-only"
1985,1494,0.41836411903419063,0.0045012593310642,"Evan Odell dataset (parlparse), Chamber-only"
1986,1495,0.4200135395349835,0.00455627025844023,"Evan Odell dataset (parlparse), Chamber-only"
1987,1492,0.41654956198890514,0.00456094302854454,"Evan Odell dataset (parlparse), Chamber-only"
1988,1493,0.4143349620497363,0.0044901534165076,"Evan Odell dataset (parlparse), Chamber-only"
1989,1497,0.4162131669713008,0.00441251906170022,"Evan Odell dataset (parlparse), Chamber-only"
1990,1490,0.41264575814945154,0.00445388688172308,"Evan Odell dataset (parlparse), Chamber-only"
1991,1494,0.422618487078501,0.00433950156151686,"Evan Odell dataset (parlparse), Chamber-only"
1992,1490,0.4118928469730749,0.00441439098161806,"Evan Odell dataset (parlparse), Chamber-only"
1993,1493,0.4275169070988286,0.00442408176219355,"Evan Odell dataset (parlparse), Chamber-only"
1994,1495,0.4047295038223778,0.00449428728528733,"Evan Odell dataset (parlparse), Chamber-only"
1995,1496,0.4204031307017495,0.00444099001205163,"Evan Odell dataset (parlparse), Chamber-only"
1996,1495,0.4163195556448285,0.00440715156052964,"Evan Odell dataset (parlparse), Chamber-only"
1997,1491,0.406502879342733,0.00449014278253018,"Evan Odell dataset (parlparse), Chamber-only"
1998,1495,0.40572129918943506,0.00448035557229788,"Evan Odell dataset (parlparse), Chamber-only"
1999,1495,0.3914420539992364,0.00470328063580005,"Evan Odell dataset (parlparse), Chamber-only"
2000,1494,0.3973816459793312,0.00457981956353185,"Evan Odell dataset (parlparse), Chamber-only"
2001,1492,0.3937789839181289,0.00468564582295234,"Evan Odell dataset (parlparse), Chamber-only"
2002,1494,0.407967595717871,0.00444593161416415,"Evan Odell dataset (parlparse), Chamber-only"
2003,1498,0.4070263994864443,0.00445197555750599,"Evan Odell dataset (parlparse), Chamber-only"
2004,1494,0.4023484816706617,0.00447868786575209,"Evan Odell dataset (parlparse), Chamber-only"
2005,1495,0.3999571612563448,0.00459546930511168,"Evan Odell dataset (parlparse), Chamber-only"
2006,1491,0.3933845460981964,0.0045346929390655,"Evan Odell dataset (parlparse), Chamber-only"
2007,1491,0.4138932062531863,0.00448239907295547,"Evan Odell dataset (parlparse), Chamber-only"
2008,1491,0.40274154880344654,0.00458681739621824,"Evan Odell dataset (parlparse), Chamber-only"
2009,1488,0.40334780327507735,0.00455855905712398,"Evan Odell dataset (parlparse), Chamber-only"
2010,1484,0.420596819445918,0.00447394195038845,"Evan Odell dataset (parlparse), Chamber-only"
2011,1483,0.4053103000816301,0.00450900115744937,"Evan Odell dataset (parlparse), Chamber-only"
2012,1485,0.40611609910852337,0.00452190138418681,"Evan Odell dataset (parlparse), Chamber-only"
2013,1491,0.4089279424886177,0.00439937933037032,"Evan Odell dataset (parlparse), Chamber-only"
2014,1489,0.4124372848115018,0.00436415097034576,"Evan Odell dataset (parlparse), Chamber-only"
2015,1490,0.4117580940006127,0.00453069894682666,"Evan Odell dataset (parlparse), Chamber-only"
2016,1487,0.4068102411214691,0.00439680653961329,"Evan Odell dataset (parlparse), Chamber-only"
2017,1494,0.4101127040732988,0.00441644823054425,"Evan Odell dataset (parlparse), Chamber-only"
2018,1488,0.41883227082784064,0.00430072547526308,"Evan Odell dataset (parlparse), Chamber-only"
2019,1493,0.42403702827222073,0.00451038964086046,"Evan Odell dataset (parlparse), Chamber-only"
2020,1494,0.3872638993353559,0.0046611907635384,"Official Hansard API (live pull), Chamber-only"
2021,1495,0.39033281910342704,0.00456848635331159,"Official Hansard API (live pull), Chamber-only"
2022,1494,0.3992042020728406,0.00469517022444495,"Official Hansard API (live pull), Chamber-only"
2023,1487,0.3964461397738808,0.00452542962891548,"Official Hansard API (live pull), Chamber-only"
2024,1495,0.3956160939699916,0.00449253618800148,"Official Hansard API (live pull), Chamber-only"
2025,1491,0.3805037212478139,0.00442033336562816,"Official Hansard API (live pull), Chamber-only"
