year,n_speeches,mean_self_ratio,se_self_ratio
1988,1495,0.41207280149177483,0.004428703621734077
1989,1489,0.41934661841169213,0.0044575079137329325
1990,1494,0.4139946583418839,0.004359577887325345
1991,1496,0.4190126436278277,0.004225414819332875
1992,1491,0.4136111979206856,0.0044939673683203184
1993,1495,0.42822477236014644,0.004428135324733934
1994,1492,0.4121401001191652,0.0045293452609422025
1995,1493,0.42062963587401003,0.004345421141940914
1996,1491,0.40792763656332365,0.004489686201167358
1997,1491,0.41065190953394665,0.004430389333896459
1998,1492,0.39895817855605575,0.004547679687008878
1999,1487,0.4033775992640004,0.004560626597207867
2000,1493,0.3878127513534437,0.004703458734637627
2001,1496,0.3819358847686865,0.004682402098285863
2002,1496,0.3928438105635477,0.004501102562972167
2003,1496,0.3940836314490362,0.004546083267911818
2004,1491,0.39689216456717746,0.004602553203446571
2005,1497,0.3920565148601681,0.004576004420535483
2006,1494,0.39750216986946935,0.004440837007135365
2007,1494,0.3912673957637143,0.004619753501224175
2008,1494,0.3973354826772173,0.004605628027399105
2009,1492,0.40174273437005065,0.004632144016124518
2010,1488,0.40359152808602866,0.004570896507065165
2011,1493,0.4064740737605774,0.004419238605684352
2012,1490,0.4075452526685721,0.004645228436128202
2013,1489,0.40949051055985924,0.004556920077405313
2014,1489,0.41571967087833445,0.004573865489449992
2015,1492,0.4049997379609672,0.004628134971768736
2016,1493,0.4011864436771796,0.004509394505111702
2017,1491,0.40213658463964647,0.004581849573951329
2018,1485,0.40540719337370057,0.004554680203946022
2019,1496,0.41150135260563364,0.004502495498516891
