year,office_expenses_max_nominal,deflator_ratio,real_2015_mean,real_2015_min,real_2015_max,real_2015_old85,note
1969,500,4.141222439296679,1778.3699686918976,1591.322071590089,1883.8272975559191,1760.0195367010886,NA
1972,1000,4.141222439296679,3556.739937383795,3182.644143180178,3767.6545951118383,3520.039073402177,NA
1974,1750,4.141222439296679,6224.294890421641,5569.627250565311,6593.395541445717,6160.06837845381,NA
1975,3200,4.141222439296679,11381.567799628143,10184.46125817657,12056.494704357883,11264.125034886967,NA
1976,3512,4.141222439296679,12491.270660091888,11177.446230848785,13232.002938032776,12362.377225788445,NA
1977,3687,4.141222439296679,13113.70014913405,11734.408955905315,13891.342492177346,12978.384063633826,NA
1978,4200,4.141222439296679,14938.307737011939,13367.105401356746,15824.14929946972,14784.164108289144,NA
1979,4600,4.141222439296679,16361.003711965455,14640.16305862882,17331.211137514452,16192.179737650014,NA
1980,8000,3.7496320865190285,25763.341888745188,23053.56889018889,27291.10791382944,25497.498188329395,NA
1981,8480,3.395070173202497,24726.813907516043,22126.062306413223,26193.113829304788,24471.6658084436,NA
1982,8820,3.074035322668114,23286.326988449822,20837.084945963867,24667.2060442643,23046.04281404285,NA
1983,11364,2.7833572453371587,27165.876987977663,24308.586180674356,28776.813336339408,26885.56097560975,NA
1984,12437,2.6644932155604537,28461.23924561741,25467.703005393978,30148.990568369685,28167.556803636555,NA
1985,13211,2.5507053065722056,28941.399698769994,25897.360467259718,30657.624533618775,28642.762634356597,NA
1986,20140,2.4417767412506266,42236.60204663009,37794.18132842641,44741.23230385749,41800.776033469476,NA
1987,21302,2.3375,42765.696823255574,38267.626230685135,45301.70239767857,42324.41125,NA
1988,22588,2.199672328372905,42673.604067805325,38185.21973655763,45204.14854236244,42233.2687702941,NA
1989,24903,2.0699714875762467,44273.064581797546,39616.44994363588,46898.45705558913,43816.22496184458,NA
1990,27166,1.9479182895154519,45448.54504260498,40668.29406771411,48143.64350092789,44979.576015030245,NA
1991,28986,1.833061800803688,45634.043076955255,40834.28152898198,48340.14156764292,45163.15995438134,"RESOLVED 7 Sep: not a genuine gap after all — cropped out of frame at the top of both photos. Filled from Mortimore & Blick (2018) successor edition p.353/359, which reprints an identical table to every other checked row (same underlying HC Library source, not independent corroboration)"
1992,28986,1.7249776767594773,42943.29060455855,38426.540803546726,45489.82748918628,42500.17249776768,NA
1993,39960,1.6868967222955555,57894.52923476338,51805.21703443023,61327.674483740484,57297.134069490836,NA
1994,40380,1.6496564506488212,57211.50561823745,51194.033436230755,60604.147570702604,56621.15835561949,NA
1995,41308,1.6132383027361556,57234.28293246352,51214.41504607437,60628.275579530615,56643.700638011345,NA
1996,42754,1.5776241291884965,57930.04232999145,51836.99488339405,61365.2935053103,57332.280716426234,NA
1997,48464,1.542796181305906,64217.199795566186,57462.87286079305,68025.27937225233,63554.56301118801,NA
1998,47568,1.5199205154496411,62095.38466850982,55564.22898861715,65777.64062042613,61454.64221707224,NA
1999,49232,1.4973840363859732,63314.65293893937,56655.25534650779,67069.21149224449,62661.32924745109,NA
2000,50264,1.4751817148545079,63683.38214862203,56985.2018369108,67459.80634192999,63026.253658129936,NA
2001,52760,1.453308596165739,65854.6100012221,58928.061233504806,69759.78799363901,65175.07730364873,"corrected 7 Sep from an earlier transcription error (had 51572, effectively 2000's value copied down) — cross-checked against Mortimore & Blick (2018) successor edition p.353/359, identical table"
2002,72310,1.4219513226614267,88309.34101903361,79021.01697912262,93546.08443101299,87398.10512040059,NA
2003,74985,1.391270628518317,89600.3209762156,80176.21243114391,94913.6194921937,88675.7638675291,NA
2004,77534,1.361251915540175,90647.16931911546,81112.95388707922,96022.54593577648,89711.81011656813,NA
2005,84081,1.3318809005083514,96180.45167304203,86064.24888933351,101883.95190130718,95187.99629629627,NA
2006,87276,1.2918815489924624,96836.94548621497,86651.69307314014,102579.3757938066,95837.71595938622,NA
2007,90505,1.253083467140461,97403.8505537607,87158.97140237628,103179.89832858092,96398.77131451531,NA
2008,90854,1.2154505781473315,94842.91860292926,84867.39675315078,100467.103127868,93864.264802948,NA
2009,103812,1.1789478886749098,105115.24817581903,94059.28880248123,111348.58178505357,104030.59748625178,NA
2010,109548,1.1435414563129593,107591.98488273365,96275.52381354006,113972.18896437211,106481.77753774627,NA
