year,trust_pct,data_source,note,is_trustgov_real_year,pred_A_all_overlap,pred_B_post1990,pred_C_excl_crisis,pred_D_trustgov_real
1979,18.341733880599342,TrustGov-calibrated (INTERPOLATED),"HEALTH WARNING: neither BSA nor TrustGov has a real reading this year — double-interpolated (TrustGov's random-walk, then this calibration).",FALSE,22.606178185785826,18.768252078363226,23.33174982146937,18.341733880599342
1980,17.779032418808708,TrustGov-calibrated (INTERPOLATED),"HEALTH WARNING: neither BSA nor TrustGov has a real reading this year — double-interpolated (TrustGov's random-walk, then this calibration).",FALSE,22.410540727635787,18.3353007255835,23.179727684572757,17.779032418808708
1981,16.987040994894425,TrustGov-calibrated (INTERPOLATED),"HEALTH WARNING: neither BSA nor TrustGov has a real reading this year — double-interpolated (TrustGov's random-walk, then this calibration).",FALSE,22.135184789234355,17.725930070525195,22.96575946724469,16.987040994894425
1982,16.339592433046676,TrustGov-calibrated (INTERPOLATED),"HEALTH WARNING: neither BSA nor TrustGov has a real reading this year — double-interpolated (TrustGov's random-walk, then this calibration).",FALSE,21.91008284882049,17.227772966373994,22.79084164565326,16.339592433046676
1983,15.604761658915384,TrustGov-calibrated (INTERPOLATED),"HEALTH WARNING: neither BSA nor TrustGov has a real reading this year — double-interpolated (TrustGov's random-walk, then this calibration).",FALSE,21.654600262434464,16.662382614069053,22.59231622475717,15.604761658915384
1984,14.906617415809661,TrustGov-calibrated (INTERPOLATED),"HEALTH WARNING: neither BSA nor TrustGov has a real reading this year — double-interpolated (TrustGov's random-walk, then this calibration).",FALSE,21.411872680550015,16.125219455604643,22.40370221376587,14.906617415809661
1985,13.875905839680968,TrustGov-calibrated (INTERPOLATED),"HEALTH WARNING: BSA has no reading this year, but TrustGov's OWN input does — one step of interpolation, not two.",TRUE,21.053519616746065,15.33217376172892,22.125240210435486,13.875905839680968
1986,40,BSA 41 Table 3 (OBSERVED),,NA,NA,NA,NA,NA
1987,37,BSA 41 Table 3 (OBSERVED),,NA,NA,NA,NA,NA
1988,20.673605686693282,TrustGov-calibrated (INTERPOLATED),"HEALTH WARNING: neither BSA nor TrustGov has a real reading this year — double-interpolated (TrustGov's random-walk, then this calibration).",FALSE,23.416912658421143,20.56243091298815,23.961739538935674,20.673605686693282
1989,22.973703687545353,TrustGov-calibrated (INTERPOLATED),"HEALTH WARNING: neither BSA nor TrustGov has a real reading this year — double-interpolated (TrustGov's random-walk, then this calibration).",FALSE,24.216600160477263,22.332162482239625,24.583145092154684,22.973703687545353
1990,25.42533981809799,TrustGov-calibrated (INTERPOLATED),"HEALTH WARNING: neither BSA nor TrustGov has a real reading this year — double-interpolated (TrustGov's random-walk, then this calibration).",FALSE,25.068973743022827,24.218489871311412,25.245490916303655,25.42533981809799
1991,33,BSA 41 Table 3 (OBSERVED),,NA,NA,NA,NA,NA
1992,28.997233706271242,TrustGov-calibrated (INTERPOLATED),"HEALTH WARNING: neither BSA nor TrustGov has a real reading this year — double-interpolated (TrustGov's random-walk, then this calibration).",FALSE,26.310833394213617,26.966761194348464,26.21049097143072,28.997233706271242
1993,29.52065823953964,TrustGov-calibrated (INTERPOLATED),"HEALTH WARNING: neither BSA nor TrustGov has a real reading this year — double-interpolated (TrustGov's random-walk, then this calibration).",FALSE,26.49281523036548,27.369492260721568,26.351901864159444,29.52065823953964
1994,24,BSA 41 Table 3 (OBSERVED),,NA,NA,NA,NA,NA
1995,30.709442014995155,TrustGov-calibrated (INTERPOLATED),"HEALTH WARNING: neither BSA nor TrustGov has a real reading this year — double-interpolated (TrustGov's random-walk, then this calibration).",FALSE,26.906126109957,28.28416119033162,26.673069414138208,30.709442014995155
1996,22,BSA 41 Table 3 (OBSERVED),,NA,NA,NA,NA,NA
1997,33,BSA 41 Table 3 (OBSERVED),,NA,NA,NA,NA,NA
1998,28,BSA 41 Table 3 (OBSERVED),,NA,NA,NA,NA,NA
1999,28.44204815209617,TrustGov-calibrated (INTERPOLATED),"HEALTH WARNING: BSA has no reading this year, but TrustGov's OWN input does — one step of interpolation, not two.",TRUE,26.117809032281457,26.53959269907043,26.06049936833226,28.44204815209617
2000,16,BSA 41 Table 3 (OBSERVED),,NA,NA,NA,NA,NA
2001,28,BSA 41 Table 3 (OBSERVED),,NA,NA,NA,NA,NA
2002,26,BSA 41 Table 3 (OBSERVED),,NA,NA,NA,NA,NA
2003,18,BSA 41 Table 3 (OBSERVED),,NA,NA,NA,NA,NA
2004,17.149920555672676,TrustGov-calibrated (INTERPOLATED),"HEALTH WARNING: BSA has no reading this year, but TrustGov's OWN input does — one step of interpolation, not two.",TRUE,22.191814006357497,17.85125216575257,23.009763793815118,17.149920555672676
2005,26,BSA 41 Table 3 (OBSERVED),,NA,NA,NA,NA,NA
2006,20.985839269639012,TrustGov-calibrated (INTERPOLATED),"HEALTH WARNING: BSA has no reading this year, but TrustGov's OWN input does — one step of interpolation, not two.",TRUE,23.525468595564433,20.80266834135636,24.04609406742623,20.985839269639012
2007,29,BSA 41 Table 3 (OBSERVED),,NA,NA,NA,NA,NA
2008,18.262170548882917,TrustGov-calibrated (INTERPOLATED),"HEALTH WARNING: BSA has no reading this year, but TrustGov's OWN input does — one step of interpolation, not two.",TRUE,22.57851597227492,18.70703479986412,23.31025460859458,18.262170548882917
2009,16,BSA 41 Table 3 (OBSERVED),,NA,NA,NA,NA,NA
2010,20,BSA 41 Table 3 (OBSERVED),,NA,NA,NA,NA,NA
2011,22,BSA 41 Table 3 (OBSERVED),,NA,NA,NA,NA,NA
2012,18,BSA 41 Table 3 (OBSERVED),,NA,NA,NA,NA,NA
2013,17,BSA 41 Table 3 (OBSERVED),,NA,NA,NA,NA,NA
2014,22.361371957651418,TrustGov-calibrated (INTERPOLATED),"HEALTH WARNING: BSA has no reading this year, but TrustGov's OWN input does — one step of interpolation, not two.",TRUE,24.003707478805794,21.861024820780756,24.417714603007116,22.361371957651418
2015,24.320775225550623,TrustGov-calibrated (INTERPOLATED),"HEALTH WARNING: BSA has no reading this year, but TrustGov's OWN input does — one step of interpolation, not two.",TRUE,24.684943801887005,23.368620505317306,24.94707642638029,24.320775225550623
2016,22,BSA 41 Table 3 (OBSERVED),,NA,NA,NA,NA,NA
2017,20,BSA 41 Table 3 (OBSERVED),,NA,NA,NA,NA,NA
2018,23.32222151343623,TrustGov-calibrated (INTERPOLATED),"HEALTH WARNING: BSA has no reading this year, but TrustGov's OWN input does — one step of interpolation, not two.",TRUE,24.337771236451182,22.600317577673597,24.677302346464792,23.32222151343623
2019,15,BSA 41 Table 3 (OBSERVED),,NA,NA,NA,NA,NA
2020,23,BSA 41 Table 3 (OBSERVED),,NA,NA,NA,NA,NA
2023,14,BSA 41 Table 3 (OBSERVED),,NA,NA,NA,NA,NA
2024,12,BSA 41 Table 3 (OBSERVED),,NA,NA,NA,NA,NA
