"year","trust_pct","note","date","era","source"
1986,40,"","1986-07-01","1945-2013","BSA 41 Table 3"
1987,37,"","1987-07-01","1945-2013","BSA 41 Table 3 (wave 1)"
1991,33,"","1991-07-01","1945-2013","BSA 41 Table 3"
1994,24,"","1994-07-01","1945-2013","BSA 41 Table 3"
1996,22,"","1996-07-01","1945-2013","BSA 41 Table 3"
1997,33,"Blair landslide","1997-07-01","1945-2013","BSA 41 Table 3 (wave 2 post-election)"
1998,28,"","1998-07-01","1945-2013","BSA 41 Table 3"
2000,16,"","2000-07-01","1945-2013","BSA 41 Table 3"
2001,28,"","2001-07-01","1945-2013","BSA 41 Table 3"
2002,26,"","2002-07-01","1945-2013","BSA 41 Table 3"
2003,18,"Iraq war","2003-07-01","1945-2013","BSA 41 Table 3"
2005,26,"","2005-07-01","1945-2013","BSA 41 Table 3"
2007,29,"","2007-07-01","1945-2013","BSA 41 Table 3"
2009,16,"expenses scandal","2009-07-01","1945-2013","BSA 41 Table 3"
2010,20,"","2010-07-01","1945-2013","BSA 41 Table 3"
2011,22,"","2011-07-01","1945-2013","BSA 41 Table 3"
2012,18,"","2012-07-01","1945-2013","BSA 41 Table 3"
2013,17,"","2013-07-01","1945-2013","BSA 41 Table 3"
2016,22,"","2016-07-01","Post-2014","BSA 41 Table 3"
2017,20,"","2017-07-01","Post-2014","BSA 41 Table 3"
2019,15,"","2019-07-01","Post-2014","BSA 41 Table 3"
2020,23,"COVID-19","2020-07-01","Post-2014","BSA 41 Table 3 (wave 1)"
2023,14,"","2023-07-01","Post-2014","BSA 41 Table 3"
2024,12,"record low","2024-07-01","Post-2014","BSA 42"
