date,year,member,party,constituency,category,reason,source_note
1903-03-02,1903,Arthur Lynch,Nat.,Galway,criminal_conviction,Treason (during Boer War),"Mortimore & Blick (2018/12th edn draft) 'Seats Forfeited', p.47-48"
1922-08-01,1922,Horatio Bottomley,Ind.,Hackney S.,criminal_conviction,Fraudulent conversion,"Mortimore & Blick 'Seats Forfeited', p.47-48"
1941-07-31,1941,Sir Paul Latham,Con.,Scarb. & Wh.,criminal_conviction,Indecent conduct and attempted suicide (convicted by court martial),"Mortimore & Blick 'Seats Forfeited', p.47-48"
1954-12-06,1954,Peter Baker,Con.,S. Norfolk,criminal_conviction,Forgery,"Mortimore & Blick 'Seats Forfeited', p.47-48"
1976-08-27,1976,John Stonehouse,Lab. (Ind),Walsall S.,criminal_conviction,Fraud (dishonest business dealings),"Mortimore & Blick 'Seats Forfeited', p.47-48"
2011-02-08,2011,Eric Illsley,Lab.,Barnsley C.,criminal_conviction,False accounting (expenses claims),"Mortimore & Blick 'Seats Forfeited', p.47-48"
2012-11-05,2012,Denis MacShane,Lab.,Rotherham,criminal_conviction,False accounting (expenses claims),"Mortimore & Blick 'Seats Forfeited', p.47-48"
2013-02-05,2013,Chris Huhne,LD,Eastleigh,criminal_conviction,Perverting the course of justice,"Mortimore & Blick 'Seats Forfeited', p.47-48"
2022-05-03,2022,Imran Ahmad Khan,Con.,Wakefield,criminal_conviction,Sexual assault,"Mortimore & Blick 'Seats Forfeited', p.47-48"
2019-05-01,2019,Fiona Onasanya,Lab.,Peterborough,criminal_conviction,Perverting the course of justice (lying about a speeding ticket),"NOT in Mortimore & Blick's list (their draft edn cuts off before catching this despite falling inside its own coverage window) — added 11 Sep 2026 via cross-check against HC Library SN04594, verified directly: UK Parliament's own record of the first-ever successful Recall of MPs Act 2015 petition (19,261 signatures, 27.64% of the electorate, exceeding the 10% threshold), seat vacated 1 May 2019."
2025-03-17,2025,Mike Amesbury,Lab.,Runcorn & H.,criminal_conviction,Common assault (punched a constituent at a taxi rank),"NOT in Mortimore & Blick's list (post-dates their 2022 draft-edition cutoff) — added 11 Sep 2026 via cross-check against HC Library SN04594, verified directly against the CPS's own press release: convicted 16 Jan 2025, 10-week sentence suspended on appeal 27 Feb 2025, resigned under pressure 17 Mar 2025, triggering the Runcorn & Helsby by-election."
1931-02-26,1931,Thomas Mardy Jones,Lab.,Pontypridd,censure_resignation,Abuse of travel voucher,"Mortimore & Blick 'Seats Forfeited' (censure sub-list), p.47-48"
1936-06-11,1936,Jimmy Thomas,N. Lab.,Derby,censure_resignation,Budget leak,"Mortimore & Blick 'Seats Forfeited' (censure sub-list), p.47-48"
1936-06-11,1936,Sir Alfred Butt,Con.,Balham & T.,censure_resignation,Budget leak,"Mortimore & Blick 'Seats Forfeited' (censure sub-list), p.47-48"
1947-10-30,1947,Garry Allighan,Lab.,Gravesend,censure_resignation,Breach of privilege (expelled 187-75),"Mortimore & Blick 'Seats Forfeited' (censure sub-list), p.47-48"
1949-02-03,1949,John Belcher,Lab.,Sowerby,censure_resignation,Following Lynskey Tribunal,"Mortimore & Blick 'Seats Forfeited' (censure sub-list), p.47-48"
1963-06-05,1963,John Profumo,Con.,Strat.-on-Avon,censure_resignation,Lying to the House,"Mortimore & Blick 'Seats Forfeited' (censure sub-list), p.47-48"
1977-07-25,1977,John Cordle,Con.,Bournem'th E.,censure_resignation,Poulson affair,"Mortimore & Blick 'Seats Forfeited' (censure sub-list), p.47-48"
2009-06-05,2009,Ian Gibson,Lab.,Norwich N.,censure_resignation,Abuse of MPs' expenses system,"Mortimore & Blick 'Seats Forfeited' (censure sub-list), p.47-48"
2014-04-30,2014,Patrick Mercer,Con. (Ind),Newark,censure_resignation,Breach of lobbying rules,"Mortimore & Blick 'Seats Forfeited' (censure sub-list), p.47-48"
2021-11-04,2021,Owen Paterson,Con.,Shropshire N.,censure_resignation,Breach of lobbying rules,"Mortimore & Blick 'Seats Forfeited' (censure sub-list), p.47-48"
2022-05-04,2022,Neil Parish,Con,Tiverton & H.,censure_resignation,Watching pornography in Parliament,"Mortimore & Blick 'Seats Forfeited' (censure sub-list), p.47-48"
2023-08-01,2023,Margaret Ferrier,SNP (Ind),Rutherglen & H.W.,standards_suspension_recall,"Breached Covid-19 self-isolation rules (travelled Scotland-London-Scotland while symptomatic/positive, spoke in a Commons debate)","NOT in Mortimore & Blick's list (post-dates their 2022 draft-edition cutoff) - added 12 Sep 2026 via web search cross-check, verified against UK Parliament's own Committee on Standards report and Independent Expert Panel appeal ruling (both primary sources, blocked to automated fetch - Wikipedia's account cross-checked against BBC/press coverage instead): Committee on Standards recommended a 30-sitting-day suspension 30 Mar 2023 (breach found to be 'blatant and deliberate dishonest intent'); Independent Expert Panel upheld this on appeal 22 May 2023. Distinct from both existing categories - neither a criminal conviction (Onasanya, Amesbury) nor a voluntary censure resignation (Gibson, Mercer, Paterson, Parish): Ferrier did not resign and contested the process throughout. Suspension >10 sitting days triggered a Recall of MPs Act 2015 petition, which succeeded 1 Aug 2023 (11,896 signatures, 14.66% of the electorate); she lost the seat at the resulting by-election 5 Oct 2023 and did not stand."
