name,date,date_precision,year,category,period_method,citation,source_note
Tim Smith,1994-10,month,1994,financial scandal,BDD 1979-2007 list,"Berlinski, Dewan & Dowding (2012), Accounting for Ministers: Scandal and Survival in British Government 1945-2007, Cambridge University Press, Ch.6 'Performance measures and forced exits'","Berlinski Dewan & Dowding (2012), Ch.6, explicit financial-scandal list: 'Tim Smith, October 1994'"
Neil Hamilton,1994-12,month,1994,financial scandal,BDD 1979-2007 list,"Berlinski, Dewan & Dowding (2012), Accounting for Ministers, Ch.6","Berlinski Dewan & Dowding (2012), Ch.6, explicit financial-scandal list: 'Neil Hamilton, December 1994'"
Peter Mandelson,1998-12,month,1998,financial scandal,BDD 1979-2007 list,"Berlinski, Dewan & Dowding (2012), Accounting for Ministers, Ch.6","Berlinski Dewan & Dowding (2012), Ch.6, explicit financial-scandal list: 'Peter Mandelson and Geoffrey Robinson, December 1998'"
Geoffrey Robinson,1998-12,month,1998,financial scandal,BDD 1979-2007 list,"Berlinski, Dewan & Dowding (2012), Accounting for Ministers, Ch.6","Berlinski Dewan & Dowding (2012), Ch.6, explicit financial-scandal list: 'Peter Mandelson and Geoffrey Robinson, December 1998'"
David Blunkett,2005-10,month,2005,financial scandal,BDD 1979-2007 list,"Berlinski, Dewan & Dowding (2012), Accounting for Ministers, Ch.6","Berlinski Dewan & Dowding (2012), Ch.6, explicit financial-scandal list: 'David Blunkett, October 2005' (his SECOND resignation - distinct from the Dec 2004 'personal error'-coded first resignation)"
Lord Sainsbury,2006-11,month,2006,financial scandal,BDD 1979-2007 list,"Berlinski, Dewan & Dowding (2012), Accounting for Ministers, Ch.6","Berlinski Dewan & Dowding (2012), Ch.6, explicit financial-scandal list: 'Lord Sainsbury, November 2006'"
Peter Hain,2008-01-24,day,2008,financial scandal,post-2007 opportunistic search,"Wikipedia, 'List of resignations from government' (en.wikipedia.org/wiki/List_of_resignations_from_government), entry dated 24 January 2008","Resigned as Sec. of State for Work and Pensions/Wales after Electoral Commission referred his undeclared donations to police. Verified via news search 10 Sep 2026; NOT from a systematic Times-archive sweep like the BDD-era list, so this is a lower-bound extension, not an audited census."
Shahid Malik,2009-05-15,day,2009,financial scandal,post-2007 Times-style sweep,"CNN, 'British expenses scandal claims justice minister' (cnn.com/2009/WORLD/europe/05/15/uk.mps.expenses.malik); UK Parliament members' career record (members.parliament.uk/member/1509/career) for the exact end date","Parliamentary Under-Secretary of State for Justice, stepped down 15 May 2009 pending an inquiry into his own expenses claims (GBP66,827 second-home allowance while paying below-market rent at his registered main home) - reported as 'the first government member forced out by the expenses scandal.' Found via the 10 Sep 2026 sweep (Wikipedia per-government departure pages + targeted search), not the original opportunistic pass. Later cleared by the inquiry, but the DEPARTURE event itself is what BDD's own method counts, regardless of eventual exoneration (same logic as their Mellor/Fairbairn treatment)."
Kitty Ussher,2009-06-17,day,2009,financial scandal,post-2007 BBC/open-media pass,"France 24, 'Expenses scandal claims new victim' (france24.com/en/20090618-expenses-scandal-claims-new-victim-); Wikipedia, 'Kitty Ussher' (en.wikipedia.org/wiki/Kitty_Ussher) for the exact date and post","Exchequer Secretary to the Treasury, resigned 17 June 2009 - hours before a Telegraph story broke on her having temporarily redesignated her Burnley home as a 'second home' to avoid up to GBP17,000 in capital gains tax on its sale. Only 8 days into the post (appointed in the 9 June reshuffle). Checked against this project's own IfG appointment.csv: only 2 appointment-endings on 2009-06-17 (well below the 5+ reshuffle-cluster threshold) - genuinely standalone, NOT reshuffle-clustered like Blears/McNulty (5 June), so included on the same principled basis as Malik. Found via the 10 Sep 2026 BBC/open-media search pass, not Wikipedia or the original opportunistic pass."
David Laws,2010-05-30,day,2010,financial scandal,post-2007 opportunistic search,"CNN, 'britain.david.laws.expenses' (edition.cnn.com/2010/WORLD/europe/05/29/britain.david.laws.expenses); Al Jazeera, 'UK minister resigns amid scandal' (aljazeera.com/news/2010/5/30/uk-minister-resigns-amid-scandal)","Resigned as Chief Secretary to the Treasury over expenses paid to his partner. Verified via news search 10 Sep 2026. Opportunistic (known-case) sourcing, not a systematic sweep."
Nadhim Zahawi,2023-01-29,day,2023,financial scandal,post-2007 opportunistic search,"ITV News, 'Nadhim Zahawi has been sacked by Rishi Sunak' (itv.com/news/2023-01-29/nadhim-zahawi-has-been-sacked-by-rishi-sunak); Al Jazeera, 'UK Sunak fires Conservative Party chairman' (aljazeera.com/news/2023/1/29/uk-sunak-fires-conservative-party-chairman-zahawi-tax-probe)","Sacked as Minister without Portfolio/Conservative Party Chairman after a seven-figure tax settlement while he had been Chancellor. Verified via news search 10 Sep 2026 (exact date confirmed: 29 Jan 2023). Opportunistic sourcing."
Angela Rayner,2025-09-05,day,2025,financial scandal,post-2007 Times-style sweep,"NBC News, 'Angela Rayner resigns as deputy prime minister to Keir Starmer over stamp duty scandal' (nbcnews.com/world/united-kingdom/angela-rayner-resigns-deputy-prime-minister-keir-starmer-stamp-duty-rcna229272); Euronews, 'Angela Rayner resigns as UK deputy prime minister over stamp duty underpayment' (euronews.com/2025/09/05/angela-rayner-resigns-as-uk-deputy-prime-minister-over-stamp-duty-underpayment)","Deputy Prime Minister, resigned 5 Sep 2025 after the independent adviser on ministerial standards found she had breached the ministerial code by underpaying GBP40,000 of stamp duty on an GBP800,000 flat bought May 2025. Found via the 10 Sep 2026 sweep, not the original opportunistic pass - a significant miss, given how high-profile the case is, which is itself evidence the opportunistic method needed this follow-up sweep."
