year,n_spads,is_estimated,source_note
1979,8,TRUE,"Yong & Hazell (2014) 'Special Advisers' (Hart Publishing) estimate — Thatcher start. https://discovery.ucl.ac.uk/id/eprint/10142719/"
1985,18,TRUE,"Yong & Hazell (2014) estimate — mid-Thatcher. https://discovery.ucl.ac.uk/id/eprint/10142719/"
1990,23,TRUE,"Yong & Hazell (2014) estimate — late Thatcher. https://discovery.ucl.ac.uk/id/eprint/10142719/"
1992,38,TRUE,"Yong & Hazell (2014) / IfG — Major government. https://discovery.ucl.ac.uk/id/eprint/10142719/"
1997,70,TRUE,"Yong & Hazell (2014) / IfG — Blair start; nearly doubled from Major. https://discovery.ucl.ac.uk/id/eprint/10142719/"
2004,84,TRUE,"Secondary sources (IfG/civilservant.org.uk) — Labour peak. https://www.civilservant.org.uk/spads-information.html"
2010,66,FALSE,"Cabinet Office CSV, special adviser data releases 2010-2012 (10 June 2010 snapshot); row-counted from the name list — NOT independently re-verified 4 Sep 2026. https://www.gov.uk/government/publications/special-adviser-data-releases-numbers-and-costs"
2012,83,FALSE,"Cabinet Office CSV, special adviser data releases (gov.uk dates this 19 October 2012, not September — check before citing a month); row-counted — NOT independently re-verified 4 Sep 2026. https://www.gov.uk/government/publications/special-adviser-data-releases-numbers-and-costs-october-2012"
2013,108,FALSE,"Cabinet Office CSV, special advisers in post at 25 October 2013; row-counted — NOT independently re-verified 4 Sep 2026. https://www.gov.uk/government/publications/special-adviser-data-releases-numbers-and-costs-october-2013"
2015,95,FALSE,"'Special advisers in post, 17 December 2015' (list document, no stated summary total — value not independently re-verified 4 Sep 2026, requires manual count). https://assets.publishing.service.gov.uk/media/5a7f499240f0b6230268e95c/List_of_Special_Advisers_in_post_at_17_December_2015.pdf"
2016,83,FALSE,"'List of Special Advisers in post as at 21 December 2016' (list document, no stated summary total — value not independently re-verified 4 Sep 2026, requires manual count). https://assets.publishing.service.gov.uk/media/5a815208e5274a2e8ab5356f/List_of_special_advisers_in_post_as_at_21_December_2016.pdf"
2018,99,FALSE,"Annual Report on Special Advisers 2018 — VERIFIED 4 Sep 2026, exact quote: 'As of 18 December 2018, there are 99.2 (full time equivalent) Special Advisers' — FTE-only, no separate headcount given. https://assets.publishing.service.gov.uk/media/5c1a2b2240f0b60c8701ab2b/AnnualReportOnSpecialAdvisers2018.pdf"
2019,108,FALSE,"Annual Report on Special Advisers 2019 — VERIFIED 4 Sep 2026, exact quote: 'As at 5 November 2019, there were 108.4 (full time equivalent) special advisers' — FTE-only, no separate headcount given. https://assets.publishing.service.gov.uk/media/5dfcdadc40f0b6656fa5d4f5/Annual_Report_on_Special_Advisers.pdf"
2020,116,FALSE,"Annual Report on Special Advisers 2020 — VERIFIED 4 Sep 2026, exact quote: 'as at 15 December, which equates to 116 (114.7 full-time equivalent) special advisers'. 116 IS the headcount, 114.7 is the FTE — previous note had these mislabeled. https://assets.publishing.service.gov.uk/media/5fd8b0688fa8f54d58640d60/Annual_Report_on_Special_Advisers_2020_-_online_publication__1_.pdf"
2021,113,FALSE,"Annual Report on Special Advisers 2021 — VERIFIED 4 Sep 2026, exact quote: 'As at 31 March 2021, there were 113 (111.7 full-time equivalent) special advisers'. https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1002880/Annual_Report_on_Special_Advisers_2021_-_Online_Publication.pdf"
2022,126,FALSE,"Annual Report on Special Advisers 2022 — VERIFIED 4 Sep 2026, exact quote: 'As at 31 March 2022, there were 126 (124.7 full-time equivalent) special advisers'. https://assets.publishing.service.gov.uk/media/62d11ffae90e071e798d1138/Annual_Report_on_Special_Advisers_2022.pdf"
2024,128,FALSE,"Annual Report on Special Advisers 2024 — VERIFIED 4 Sep 2026, exact quote: 'As at 31 March 2024, there were 128 (125.85 full-time equivalent) special advisers'. https://assets.publishing.service.gov.uk/media/6878dc12760bf6cedaf5be15/2024-03-05_-_Annual_Report_on_Special_Advisers_2024_final.docx__2_.pdf"
2025,130,FALSE,"Annual Report on Special Advisers 2025 — VERIFIED 4 Sep 2026, exact quote: 'As at 31 March 2025, there were 130 (128.67 full-time equivalent) special advisers'. '42 in PM office' detail NOT independently re-verified — no stated summary, would require counting the PM-office name list by hand. https://assets.publishing.service.gov.uk/media/6878dc8e0263c35f52e4dd64/2025-07-14-_Annual_Report_on_Special_Advisers_2025_FINAL.docx__1___3_.pdf"
