year,politicians_pct,government_ministers_pct,source_url_or_document,notes
1983,18,16,"https://www.ipsos.com/sites/default/files/ct/news/documents/2025-12/Veracity%20index%202025_Charts.pdf","TIER 1 (primary). Stated as plain text on the 2025 deck's Highs-and-Lows slide (""1983: Government Ministers 16%"" / ""1983: Politicians 18%""), not read off the chart line. First year of the series."
1993,NA,11,"https://www.ipsos.com/sites/default/files/ct/news/documents/2020-11/veracity-index-2020_v2_public.pdf (same label repeated identically in the 2019, 2021, 2022, 2024 decks)","TIER 1 (primary, explicit label). ""1993: Government Ministers Low - 11%"" on every Highs-and-Lows chart 2019-2024. Politicians value for 1993 not separately labelled anywhere found."
1999,23,NA,"https://www.ipsos.com/sites/default/files/ct/news/documents/2020-11/veracity-index-2020_v2_public.pdf (same label repeated identically in the 2019, 2021, 2022, 2024, 2025 decks)","TIER 1 (primary, explicit label). ""1999: Politicians High - 23%"" on every Highs-and-Lows chart 2019-2025 - never superseded. Government Ministers value for 1999 not separately labelled anywhere found."
2008,NA,25,"https://www.ipsos.com/sites/default/files/ct/news/documents/2020-11/veracity-index-2020_v2_public.pdf (same label repeated identically in the 2019, 2021, 2022, 2024, 2025 decks)","TIER 1 (primary, explicit label). ""2008: Government Ministers High - 25%"" on every Highs-and-Lows chart 2019-2025 - never superseded. Politicians value for 2008 not separately labelled anywhere found."
2009,13,NA,"https://www.ipsos.com/sites/default/files/ct/news/documents/2019-11/trust-in-professions-veracity-index-2019-slides.pdf (same label repeated in the 2020, 2021 decks before being superseded)","TIER 1 (primary, explicit label). ""2009: Politicians Low - 13%"" - this was the record low as of 2019-2021 decks; later superseded by 2022 (12%) and 2023 (9%), but the 2009 reading itself remains a genuine data point. Government Ministers value for 2009 not separately labelled anywhere found."
2014,16,19,"https://www.ipsos.com/sites/default/files/migrations/en-uk/files/Assets/Docs/Polls/ipsos-mori-veracity-index-2015-charts.pdf","TIER 2 - FLAG BEFORE USE. Only source is the ""2014 score"" prior-year comparator column on the 2015 deck's ""least trusted professions"" slide, not a primary 2014 document. Comparator-column alignment was PROVEN UNRELIABLE elsewhere in this exercise (see 2024 row) when the bottom-5 profession list changed composition between years - could not verify the bottom-5 list was identical in 2014 vs 2015, so treat this value as plausible but unconfirmed."
2015,21,22,"https://www.ipsos.com/sites/default/files/migrations/en-uk/files/Assets/Docs/Polls/ipsos-mori-veracity-index-2015-charts.pdf","TIER 1 (primary). ""The five least trusted professions, 2015"" slide; self-consistent with the same document's full ""all professions"" overview page (Politicians generally and Government Ministers are the two lowest-scoring professions on both pages)."
2016,15,20,"https://www.ipsos.com/sites/default/files/ct/news/documents/2017-11/trust-in-professions-veracity-index-2017-slides.pdf","TIER 2 - FLAG BEFORE USE. Only source is the ""2016 score"" prior-year comparator column on the 2017 deck. Same caveat as 2014 - not independently confirmed against a primary 2016 document."
2017,17,19,"https://www.ipsos.com/sites/default/files/ct/news/documents/2017-11/trust-in-professions-veracity-index-2017-slides.pdf","TIER 1 (primary). ""The five least trusted professions, 2017"" slide, cross-confirmed by the 2018 deck's ""2017 score"" comparator column (27%,27%,19%,17%,- in matching profession order) - this is a case where the comparator column DID match, unlike 2014/2016/2024's ambiguous cases."
2018,19,22,"https://www.ipsos.com/sites/default/files/ct/news/documents/2018-11/veracity_index_2018_v1_161118_public.pdf","TIER 1 (primary). ""The five least trusted professions, 2018"" slide, cross-confirmed by the 2019 deck's ""2018 score"" comparator column (30%,26%,22%,16%,19% in matching order)."
2019,14,17,"https://www.ipsos.com/sites/default/files/ct/news/documents/2019-11/trust-in-professions-veracity-index-2019-slides.pdf","TIER 1 (primary). ""The five least trusted professions, 2019"" slide, internally consistent with the same document's ""all professions"" overview page, and cross-confirmed by the 2020 deck's ""2019 score"" comparator column."
2020,15,16,"https://www.ipsos.com/sites/default/files/ct/news/documents/2020-11/veracity-index-2020_v2_public.pdf","TIER 1 (primary). ""The five least trusted professions, 2020"" slide, cross-confirmed by the 2021 deck's ""2020 score"" comparator column."
2021,19,19,"https://www.ipsos.com/sites/default/files/ct/news/documents/2021-12/Veracity%20index%202021_v2_PUBLIC.pdf ; independently confirmed by https://www.ipsos.com/sites/default/files/ct/news/documents/2021-12/Veracity%20index%202021%20-%20topline%20v1_PUBLIC.pdf","TIER 1 (double-primary). Identical value (19%/19%) given in both the chart deck and the separate topline results document, plus cross-confirmed by the 2022 deck's ""2021 score"" comparator column. Highest-confidence year in this series."
2022,12,16,"https://www.ipsos.com/sites/default/files/ct/news/documents/2022-11/Veracity%20index%202022_v2_PUBLIC.pdf","TIER 1 (primary). ""The five least trusted professions, 2022"" slide; also the year's Highs-and-Lows chart on this same document labels ""2022: Politicians Low - 12%"" directly."
2023,9,10,"https://www.ipsos.com/sites/default/files/ct/news/documents/2023-12/ipsos-trust-in-professions-veracity-index-2023-charts.pdf","TIER 1 (triple-primary). ""The five least trusted professions, 2023"" slide; independently corroborated by explicit ""2023: Government Ministers Low - 10%"" / ""2023: Politicians Low - 9%"" text labels on BOTH the 2024 and 2025 decks' Highs-and-Lows charts."
