year,office_expenses_max_nominal,mps_basic_pay_nominal,note
1969,500,3250,
1972,1000,4500,
1974,1750,4500,
1975,3200,5750,
1976,3512,5750,
1977,3687,6270,
1978,4200,6897,
1979,4600,9450,
1980,8000,11750,
1981,8480,13950,
1982,8820,14510,
1983,11364,15308,
1984,12437,16106,
1985,13211,16904,
1986,20140,17702,
1987,21302,18500,
1988,22588,22548,
1989,24903,24107,
1990,27166,26701,
1991,28986,28970,"RESOLVED 7 Sep: not a genuine gap after all — cropped out of frame at the top of both photos. Filled from Mortimore & Blick (2018) successor edition p.353/359, which reprints an identical table to every other checked row (same underlying HC Library source, not independent corroboration)"
1992,28986,30854,
1993,39960,30854,
1994,40380,31687,
1995,41308,33189,
1996,42754,43000,
1997,48464,43860,
1998,47568,45036,
1999,49232,47008,
2000,50264,48371,
2001,52760,49812,corrected 7 Sep from an earlier transcription error (had 51572, effectively 2000's value copied down) — cross-checked against Mortimore & Blick (2018) successor edition p.353/359, identical table
2002,72310,55118,
2003,74985,56858,
2004,77534,57485,
2005,84081,59089,
2006,87276,59686,
2007,90505,61181,
2008,90854,61670,
2009,103812,64715,
2010,109548,65738,
2011,115000,65738,
2012,137200,65738,
2013,137200,66396,
2014,138600,67060,
2015,140000,74000,
2016,141400,74962,
2017,150900,76011,added 7 Sep from the 12th-edition draft (british_political_facts_12_v5/c04.pdf) — not in either earlier edition checked
2018,153620,77379,added 7 Sep from the 12th-edition draft — see 2017 note
2019,155930,79468,added 7 Sep from the 12th-edition draft — see 2017 note; 2020-22 rows exist in that draft but are blank, not usable yet
