year,v,lo,hi
1979,-0.6068991568647478,-3.787842299405582,2.5740439856760866
1980,-0.6350616853875082,-3.9747559558551826,2.704632585080166
1981,-0.6632242139102685,-4.061769656901808,2.7353212290812703
1982,-0.6913867424330289,-4.054132525231573,2.671359040365515
1983,-0.7195492709557891,-3.948698080649627,2.5095995387380485
1984,-0.9086066001755921,-4.189401010137045,2.372187809785861
1985,-1.0981391562274485,-4.379299497494403,2.1830211850395056
1986,-1.3425304911716274,-4.572818722977919,1.8877577406346648
1987,-1.4753911655186203,-4.597616296747695,1.6468339657104551
1988,-1.3596965681265187,-4.589652568396982,1.870259432143944
1989,-1.3906715999515347,-4.6711284622718825,1.8897852623688134
1990,-1.5106662750207183,-4.790306829218287,1.7689742791768506
1991,-1.6645000606794076,-4.891914179781744,1.5629140584229289
1992,-1.970287199674672,-5.087938292507911,1.1473638931585668
1993,-1.9189556720308456,-5.141633347606778,1.303722003545086
1994,-2.0148090194506154,-5.284417309209862,1.2547992703086308
1995,-2.1263354216564254,-5.3903281268907435,1.1376572835778922
1996,-2.2088212728741325,-5.414003394472818,0.996360848724553
1997,-2.2075041402428885,-5.2936340511989615,0.8786257707131844
1998,-2.489962551486849,-5.664820365664548,0.68489526269085
1999,-2.6904394329837356,-5.89005802477544,0.5091791588079695
2000,-2.761900508608174,-5.9254406261233745,0.40163960890702644
2001,-2.8392543411306423,-5.9012887519730235,0.22278006971173925
2002,-2.7426931988391954,-5.905543707049726,0.42015730937133533
2003,-2.67805292619081,-5.876204948457131,0.5200990960755116
2004,-2.6473641816357922,-5.819797814807407,0.5250694515358223
2005,-2.5314305775067583,-5.613869792231972,0.5510086372184557
2006,-2.238373071189788,-5.437768071292371,0.9610219289127948
2007,-2.0131873374673073,-5.268589850532642,1.242215175598028
2008,-1.6623727977538492,-4.919598997004241,1.5948534014965423
2009,-1.3013351864740867,-4.506414388063474,1.9037440151153011
2010,-0.8900139910829368,-3.982704335502303,2.2026763533364293
2011,-0.3257462800654145,-3.515300748098496,2.863808187967667
2012,0.11306173938666308,-3.111223539030979,3.337347017804305
2013,0.6616860340630186,-2.5394874377337704,3.8628595058598076
2014,1.2712111222475748,-1.8461717958506578,4.388594040345808
2015,1.949124480055061,-1.0128404620971057,4.911089422207228
2016,2.293731983397371,-0.6913341107346178,5.278798077529359
2017,2.836531160965767,-0.08082124234670118,5.753883564278235
2018,3.1705331154928933,0.1535088772890898,6.187557353696697
2019,3.66563121771605,0.634828184459844,6.696434250972256
2020,4.218748525302193,0.9792210291653967,7.458276021438989
2021,4.498421755356729,1.106536044966,7.8903074657474574
2022,4.935064270822776,1.4304095123726785,8.439719029272874
2023,5.344195081863671,1.7555564964547625,8.93283366727258
2024,5.915455560342892,2.2643127545986976,9.566598366087085
2025,6.123934613740913,2.094693502423153,10.153175725058674
2026,5.990998889733843,1.5749814204146126,10.407016359053074
