"year","volatility","tpp_swing","country"
1949,NA,NA,"Australia"
1951,1.6,0.3,"Australia"
1954,3.5,1.4,"Australia"
1955,5.4,4.9,"Australia"
1958,2.8,0.1,"Australia"
1961,5.1,4.6,"Australia"
1963,3.9,3.1,"Australia"
1966,5.5,4.3,"Australia"
1969,7,7.1,"Australia"
1972,2.6,2.5,"Australia"
1974,3.4,1,"Australia"
1975,8.2,7.4,"Australia"
1977,8.1,1.1,"Australia"
1980,5.5,4.2,"Australia"
1983,4.3,3.6,"Australia"
1984,1.9,1.4,"Australia"
1987,1.8,1,"Australia"
1990,9,0.9,"Australia"
1993,6.3,1.5,"Australia"
1996,6.2,5,"Australia"
1998,7.8,4.6,"Australia"
2001,3.5,2,"Australia"
2004,3.7,1.7,"Australia"
2007,5.8,5.4,"Australia"
2010,5.4,2.6,"Australia"
2013,4.6,3.6,"Australia"
2016,3.6,3.1,"Australia"
2019,2,1.1,"Australia"
2022,6.4,3.6,"Australia"
2025,3.9,3.2,"Australia"
