year,from,span,pedersen_local
1979,1978,1,5
1980,1979,1,6
1981,1980,1,4
1982,1981,1,12
1983,1982,1,8
1984,1983,1,2
1985,1984,1,7
1986,1985,1,2
1987,1986,1,5
1988,1987,1,9
1989,1988,1,5
1990,1989,1,5
1991,1990,1,7
1992,1991,1,11
1993,1992,1,15
1994,1993,1,3
1995,1994,1,7
1996,1995,1,5
1997,1996,1,2
1998,1997,1,4
1999,1998,1,1
2000,1999,1,6
2001,2000,1,9
2002,2001,1,6
2003,2002,1,3
2004,2003,1,4
2005,2004,1,8
2006,2005,1,10
2007,2006,1,1
2008,2007,1,3
2009,2008,1,10
2010,2009,1,6
2011,2010,1,12
2012,2011,1,6
2013,2012,1,19
2014,2013,1,6
2015,2014,1,7
2016,2015,1,5
2017,2016,1,11
2018,2017,1,8
2019,2018,1,11
2021,2019,2,9
2022,2021,1,7
2023,2022,1,4
2024,2023,1,6
2025,2024,1,24
2026,2025,1,6
