year,poll_volatility,n_months
1984,5.89,12
1985,7.39,12
1986,2.41,12
1987,10.16,13
1988,9.95,12
1989,8.25,12
1990,6.58,12
1991,9.96,12
1992,1.79,13
1993,9.7,12
1994,5.81,12
1995,4.45,12
1996,2.81,12
1997,3.16,12
1998,2.73,12
1999,1.26,12
2000,5.17,12
2001,3.78,12
2002,5.94,12
2003,6.03,12
2004,2.56,12
2005,2.98,13
2006,7.23,12
2007,1.68,12
2008,5.22,12
2009,4.22,12
2010,6.46,13
2011,9.82,12
2012,3.15,12
2013,4.84,12
2014,4.91,12
2015,5.11,13
2016,1.6,12
2017,9.66,13
2018,3.1,12
2019,16.52,12
2020,16.3,12
2021,3.85,12
2022,9.45,12
2023,4.1,12
2024,10.76,13
2025,19.19,12
2026,5.26,6
