"name","start","end","exit","tenure_days","tenure_years","forced","seq_num","office"
"Dalton",1945-07-27,1947-11-13,"no_choice",839,2.29705681040383,1,1,"Chancellor"
"Cripps",1947-11-13,1950-10-19,"voluntary",1071,2.93223819301848,0,2,"Chancellor"
"Gaitskell",1950-10-19,1951-10-26,"electoral",372,1.01848049281314,0,3,"Chancellor"
"Butler",1951-10-28,1955-12-20,"moved",1514,4.145106091718,0,4,"Chancellor"
"Macmillan",1955-12-20,1957-01-13,"moved",390,1.06776180698152,0,5,"Chancellor"
"Thorneycroft",1957-01-13,1958-01-06,"no_choice",358,0.980150581793292,1,6,"Chancellor"
"Heathcoat-Amory",1958-01-06,1960-07-27,"voluntary",933,2.55441478439425,0,7,"Chancellor"
"Lloyd",1960-07-27,1962-07-13,"internal",716,1.96030116358658,1,8,"Chancellor"
"Maudling",1962-07-13,1964-10-16,"electoral",826,2.26146475017112,0,9,"Chancellor"
"Callaghan",1964-10-16,1967-11-30,"moved",1140,3.1211498973306,0,10,"Chancellor"
"Jenkins",1967-11-30,1970-06-19,"electoral",932,2.55167693360712,0,11,"Chancellor"
"Macleod",1970-06-20,1970-07-20,"other",30,0.082135523613963,0,12,"Chancellor"
"Barber",1970-07-25,1974-03-05,"electoral",1319,3.61122518822724,0,13,"Chancellor"
"Healey",1974-03-05,1979-05-04,"electoral",1886,5.16358658453114,0,14,"Chancellor"
"Howe",1979-05-04,1983-06-11,"moved",1499,4.10403832991102,0,15,"Chancellor"
"Lawson",1983-06-11,1989-10-26,"no_choice",2329,6.37645448323066,1,16,"Chancellor"
"Major",1989-10-26,1990-11-28,"moved",398,1.08966461327858,0,17,"Chancellor"
"Lamont",1990-11-28,1993-05-27,"internal",911,2.49418206707734,1,18,"Chancellor"
"Clarke",1993-05-27,1997-05-02,"electoral",1436,3.9315537303217,0,19,"Chancellor"
"Brown",1997-05-02,2007-06-27,"moved",3708,10.1519507186858,0,20,"Chancellor"
"Darling",2007-06-28,2010-05-11,"electoral",1048,2.86926762491444,0,21,"Chancellor"
"Osborne",2010-05-11,2016-07-13,"internal",2255,6.17385352498289,1,22,"Chancellor"
"Hammond",2016-07-13,2019-07-24,"no_choice",1106,3.0280629705681,1,23,"Chancellor"
"Javid",2019-07-24,2020-02-13,"no_choice",204,0.558521560574949,1,24,"Chancellor"
"Sunak",2020-02-13,2022-07-05,"no_choice",873,2.39014373716632,1,25,"Chancellor"
"Zahawi",2022-07-05,2022-09-06,"moved",63,0.172484599589322,0,26,"Chancellor"
"Kwarteng",2022-09-06,2022-10-14,"internal",38,0.10403832991102,1,27,"Chancellor"
"Hunt",2022-10-14,2024-07-05,"electoral",630,1.72484599589322,0,28,"Chancellor"
"Reeves",2024-07-05,2026-07-20,"no_choice",745,2.03969883641342,1,29,"Chancellor"
"Chuter Ede",1945-08-03,1951-10-27,"electoral",2276,6.23134839151266,0,1,"Home Secretary"
"Maxwell Fyfe",1951-10-28,1954-10-18,"moved",1086,2.97330595482546,0,2,"Home Secretary"
"Lloyd-George G",1954-10-18,1957-01-13,"internal",818,2.23956194387406,1,3,"Home Secretary"
"Butler",1957-01-13,1962-07-13,"moved",2007,5.49486652977413,0,4,"Home Secretary"
"Henry Brooke",1962-07-13,1964-10-16,"electoral",826,2.26146475017112,0,5,"Home Secretary"
"Soskice",1964-10-18,1965-12-23,"voluntary",431,1.18001368925394,0,6,"Home Secretary"
"Jenkins R (1st)",1965-12-23,1967-11-30,"moved",707,1.9356605065024,0,7,"Home Secretary"
"Callaghan",1967-11-30,1970-06-19,"electoral",932,2.55167693360712,0,8,"Home Secretary"
"Maudling",1970-06-20,1972-07-18,"no_choice",759,2.07802874743326,1,9,"Home Secretary"
"Carr",1972-07-18,1974-03-05,"electoral",595,1.6290212183436,0,10,"Home Secretary"
"Jenkins R (2nd)",1974-03-06,1976-09-10,"moved",919,2.5160848733744,0,11,"Home Secretary"
"Merlyn Rees",1976-09-10,1979-05-04,"electoral",966,2.64476386036961,0,12,"Home Secretary"
"Whitelaw",1979-05-05,1983-06-11,"moved",1498,4.10130047912389,0,13,"Home Secretary"
"Leon Brittan",1983-06-11,1985-09-02,"moved",814,2.22861054072553,0,14,"Home Secretary"
"Douglas Hurd",1985-09-02,1989-10-26,"moved",1515,4.14784394250513,0,15,"Home Secretary"
"Waddington",1989-10-26,1990-11-28,"moved",398,1.08966461327858,0,16,"Home Secretary"
"Kenneth Baker",1990-11-29,1992-04-11,"voluntary",499,1.36618754277892,0,17,"Home Secretary"
"Ken Clarke",1992-04-11,1993-05-27,"moved",411,1.12525667351129,0,18,"Home Secretary"
"Michael Howard",1993-05-27,1997-05-02,"electoral",1436,3.9315537303217,0,19,"Home Secretary"
"Jack Straw",1997-05-02,2001-06-08,"moved",1498,4.10130047912389,0,20,"Home Secretary"
"David Blunkett",2001-06-08,2004-12-15,"no_choice",1286,3.52087611225188,1,21,"Home Secretary"
"Charles Clarke",2004-12-15,2006-05-05,"internal",506,1.38535249828884,1,22,"Home Secretary"
"John Reid",2006-05-05,2007-06-28,"voluntary",419,1.14715947980835,0,23,"Home Secretary"
"Jacqui Smith",2007-06-28,2009-06-05,"no_choice",708,1.93839835728953,1,24,"Home Secretary"
"Alan Johnson",2009-06-05,2010-05-11,"electoral",340,0.930869267624914,0,25,"Home Secretary"
"Theresa May",2010-05-12,2016-07-13,"moved",2254,6.17111567419576,0,26,"Home Secretary"
