"name","party","start","end","exit","tenure_days","tenure_years"
"Attlee","Labour",1945-07-26,1951-10-26,"electoral",2283,6.25051334702259
"Churchill","Conservative",1951-10-26,1955-04-05,"voluntary",1257,3.44147843942505
"Eden","Conservative",1955-04-06,1957-01-09,"voluntary",644,1.76317590691307
"Macmillan","Conservative",1957-01-10,1963-10-18,"voluntary",2472,6.76796714579055
"Douglas-Home","Conservative",1963-10-19,1964-10-16,"electoral",363,0.993839835728953
"Wilson I","Labour",1964-10-16,1970-06-19,"electoral",2072,5.67282683093771
"Heath","Conservative",1970-06-19,1974-03-04,"electoral",1354,3.70704996577687
"Wilson II","Labour",1974-03-04,1976-04-05,"voluntary",763,2.08898015058179
"Callaghan","Labour",1976-04-05,1979-05-04,"electoral",1124,3.07734428473648
"Thatcher","Conservative",1979-05-04,1990-11-28,"internal",4226,11.5701574264203
"Major","Conservative",1990-11-28,1997-05-02,"electoral",2347,6.42573579739904
"Blair","Labour",1997-05-02,2007-06-27,"voluntary",3708,10.1519507186858
"Brown","Labour",2007-06-27,2010-05-11,"electoral",1049,2.87200547570157
"Cameron","Conservative",2010-05-11,2016-07-13,"no_choice",2255,6.17385352498289
"May","Conservative",2016-07-13,2019-07-24,"no_choice",1106,3.0280629705681
"Johnson","Conservative",2019-07-24,2022-09-06,"internal",1140,3.1211498973306
"Truss","Conservative",2022-09-06,2022-10-25,"internal",49,0.134154688569473
"Sunak","Conservative",2022-10-25,2024-07-05,"electoral",619,1.69472963723477
"Starmer","Labour",2024-07-05,2026-07-20,"internal",745,2.03969883641342
"Burnham","Labour",2026-07-20,NA,"ongoing",NA,NA
