"key","value"
"n_years","41"
"year_min","1984"
"year_max","2025"
"absent_years","1999"
"n_absent","1"
"absent_published","18"
"break_year","2015"
"sup_F","16.13"
"perm_p","0.0002"
"chow_df2","37"
"era_mean_1984-96","7.3"
"era_n_1984-96","13"
"era_mean_1997-2004","14.9"
"era_n_1997-2004","7"
"era_mean_2005-13","17.6"
"era_n_2005-13","9"
"era_mean_2014-25","24.1"
"era_n_2014-25","12"
"rise_first_to_last","3.29"
"rise_2005_to_2014","1.37"
"rise_2005_to_2014_abs","6.5"
"output_1984-96","35"
"output_1997-2004","47"
"output_2005-13","75"
"output_2014-25","57"
"loo_same","40"
"loo_n","41"
"loo_other","2014"
"bai_perron","1 break(s) at 2015"
"pois_trend_coef","+0.165"
"pois_trend_p","0.315"
"pois_trend_sig","NOT significant"
"pois_notrend_coef","+0.632"
"pois_notrend_p","0.000"
"pois_uncond_coef","+0.660"
"pois_uncond_p","0.0000"
"alt_v2spine_break","2015"
"alt_v2spine_F","19.05"
"alt_v2spine_p","0.0002"
"alt_v2spine_bp","1 break(s) at 2015"
"alt_prop_all_break","2017"
"alt_prop_all_F","7.65"
"alt_prop_all_p","0.0274"
"alt_prop_all_bp","1 break(s) at 2017"
"alt_prop_suf_break","2015"
"alt_prop_suf_F","6.14"
"alt_prop_suf_p","0.0726"
"alt_prop_suf_bp","1 break(s) at 2015"
"alt_within_break","2015"
"alt_within_F","4.02"
"alt_within_p","0.2970"
"alt_within_bp","0 breaks"
"alt_count_full_break","2015"
"alt_count_full_F","12.33"
"alt_count_full_p","0.0010"
"alt_count_full_bp","1 break(s) at 2015"
"alt_count_41_break","2015"
"alt_count_41_F","13.47"
"alt_count_41_p","0.0006"
"alt_count_41_bp","1 break(s) at 2015"
"cov_slope","+0.365"
"cov_p","0.0005"
"cov_start","69.3"
"cov_end","79.2"
"corpus_coded","2188"
"corpus_published","2207"
"corpus_coverage_pct","99.1"
"n_ocr_rows","47"
"n_fallback","354"
"pct_fallback","16.2"
"pct_serious_corpus","23.2"
"ocr_n","47"
"native_n","363"
"ocr_pct_serious","8.5"
"native_pct_serious","15.2"
"ocr_diff","-6.6"
"ocr_2se","9.0"
"ocr_pct_suf","70.2"
"native_pct_suf","70.2"
"zero_years","1988"
"pn_n_pairs","297"
"pn_pdf_serious","63"
"pn_agree_serious","28"
"pn_downgraded_1","30"
"pn_downgraded_0","5"
"tf_n","416"
"tf_year_raw","+0.439"
"tf_year_raw_p","0.0003"
"tf_year_adj","+0.284"
"tf_year_adj_p","0.0262"
"tf_attenuation_pct","35"
"tf_digit_coef","+46.2"
"tf_digit_p","0.0002"
"tf_era_1997-2004","+1.13"
"tf_era_1997-2004_p","0.0096"
"tf_era_2005-13","+0.81"
"tf_era_2005-13_p","0.0581"
"tf_era_2014-25","+1.03"
"tf_era_2014-25_p","0.0124"
"tf_digitdens_2014-25","0.0264"
"tf_pct_2014-25","3.18"
"tf_digitdens_1984-96","0.0181"
"tf_pct_1984-96","1.15"
"tf_digitdens_1997-2004","0.0154"
"tf_pct_1997-2004","1.60"
"tf_digitdens_2005-13","0.0132"
"tf_pct_2005-13","1.19"
