year,n_serious,n_total,pct
1984,2,19,10.5263
1985,5,30,16.6667
1986,4,29,13.7931
1987,3,26,11.5385
1988,0,26,0.0
1989,7,34,20.5882
1990,11,31,35.4839
1991,8,37,21.6216
1992,3,45,6.6667
1993,7,37,18.9189
1994,3,50,6.0
1995,6,46,13.0435
1996,7,47,14.8936
1997,6,40,15.0
1998,10,39,25.641
1999,2,17,11.7647
2000,10,43,23.2558
2001,8,37,21.6216
2002,14,54,25.9259
2003,11,61,18.0328
2004,11,70,15.7143
2005,9,61,14.7541
2006,11,74,14.8649
2007,9,76,11.8421
2008,9,74,12.1622
2009,19,72,26.3889
2010,19,74,25.6757
2011,15,69,21.7391
2012,15,69,21.7391
2013,19,94,20.2128
2014,15,66,22.7273
2015,15,66,22.7273
2016,25,75,33.3333
2017,24,73,32.8767
2018,27,53,50.9434
2019,24,47,51.0638
2020,19,58,32.7586
2021,15,44,34.0909
2022,16,51,31.3725
2023,17,46,36.9565
2024,20,52,38.4615
2025,15,46,32.6087
