year,n_all,n_suf,pct_suf_coverage,ser_all,ser_suf,est_count
1984,19,13,68.4,2,2,2.92
1985,30,22,73.3,5,5,6.82
1986,29,22,75.9,4,4,5.27
1987,26,18,69.2,3,3,4.33
1988,26,17,65.4,0,0,0.0
1989,34,26,76.5,7,6,7.85
1990,31,24,77.4,11,11,14.21
1991,37,24,64.9,8,8,12.33
1992,45,32,71.1,3,3,4.22
1993,37,24,64.9,7,7,10.79
1994,50,40,80.0,3,3,3.75
1995,46,26,56.5,6,6,10.62
1996,47,27,57.4,7,7,12.19
1997,40,21,52.5,6,5,9.52
1998,39,23,59.0,10,10,16.96
2000,43,33,76.7,10,10,13.03
2001,37,29,78.4,8,8,10.21
2002,54,45,83.3,14,13,15.6
2003,61,50,82.0,11,11,13.42
2004,70,49,70.0,11,11,15.71
2005,61,44,72.1,9,9,12.48
2006,74,55,74.3,11,11,14.8
2007,76,51,67.1,9,9,13.41
2008,74,56,75.7,9,9,11.89
2009,72,63,87.5,19,19,21.71
2010,74,62,83.8,19,19,22.68
2011,69,62,89.9,15,15,16.69
2012,69,59,85.5,15,15,17.54
2013,94,76,80.9,19,18,22.26
2014,66,50,75.8,15,15,19.8
2015,66,47,71.2,15,14,19.66
2016,75,58,77.3,25,25,32.33
2017,73,60,82.2,24,24,29.2
2018,53,43,81.1,27,27,33.28
2019,47,39,83.0,24,24,28.92
2020,58,47,81.0,19,18,22.21
2021,44,33,75.0,15,15,20.0
2022,51,43,84.3,16,16,18.98
2023,46,37,80.4,17,17,21.14
2024,52,44,84.6,20,20,23.64
2025,46,35,76.1,15,15,19.71
