"year","estimate"
1996,1.88219606876373
1998,1.86216461658478
2000,1.76882231235504
2002,1.77972555160522
2003,1.74633467197418
2004,1.86802077293396
2005,1.76157212257385
2006,1.6667982339859
2007,1.64163875579834
2008,1.63480663299561
2009,1.50809645652771
2010,1.6179975271225
2011,1.60419464111328
2012,1.59121036529541
2013,1.51226651668549
2014,1.62349116802216
2015,1.70522773265839
2016,1.57377743721008
2017,1.4309287071228
2018,1.36169874668121
2019,1.44982588291168
2020,1.33215415477753
2021,1.23967301845551
2022,1.23809003829956
2023,1.16114270687103
