"year","lords_defeats","z_lords"
1979,15,-0.6239
1980,18,-0.5672
1981,7,-0.7753
1982,5,-0.8131
1983,20,-0.5293
1984,17,-0.5861
1985,22,-0.4915
1986,3,-0.851
1987,17,-0.5861
1988,12,-0.6807
1989,20,-0.5293
1990,17,-0.5861
1991,6,-0.7942
1992,19,-0.5483
1993,16,-0.605
1994,7,-0.7753
1995,10,-0.7185
1996,10,-0.7185
1997,39,-0.1699
1998,31,-0.3212
1999,36,-0.2266
2000,2,-0.8699
2001,56,0.1517
2002,88,0.7572
2003,64,0.3031
2004,37,-0.2077
2005,62,0.2653
2006,45,-0.0564
2007,29,-0.3591
2008,25,-0.4347
2009,14,-0.6429
2010,48,4e-04
2011,48,4e-04
2012,27,-0.3969
2013,14,-0.6429
2014,11,-0.6996
2015,60,0.2274
2016,38,-0.1888
2017,69,0.3977
2018,69,0.3977
2019,115,1.268
2020,115,1.268
2021,128,1.5139
2022,125,1.4572
2023,43,-0.0942
2024,208,3.0274
2025,208,3.0274
2026,208,3.0274
