government,session,defeats
Labour,2024-2026,208
Conservative,2023-2024,43
Conservative,2022-2023,125
Conservative,2021-2022,128
Conservative,2019-2021,114
Conservative,2019-2019,1
Conservative,2017-2019,69
Conservative,2016-2017,38
Conservative,2015-2016,60
Conservative Liberal Democrat Coalition,2014-2015,11
Conservative Liberal Democrat Coalition,2013-2014,14
Conservative Liberal Democrat Coalition,2012-2013,27
Conservative Liberal Democrat Coalition,2010-2012,48
Labour,2009-2010,14
Labour,2008-2009,25
Labour,2007-2008,29
Labour,2006-2007,45
Labour,2005-2006,62
Labour,2004-2005,37
Labour,2003-2004,64
Labour,2002-2003,88
Labour,2001-2002,56
Labour,2000-2001,2
Labour,1999-2000,36
Labour,1998-99,31
Labour,1997-98,39
Conservative,1996-97,10
Conservative,1995-96,10
Conservative,1994-95,7
Conservative,1993-94,16
Conservative,1992-93,19
Conservative,1991-92,6
Conservative,1990-91,17
Conservative,1989-90,20
Conservative,1988-89,12
Conservative,1987-88,17
Conservative,1986-87,3
Conservative,1985-86,22
Conservative,1984-85,17
Conservative,1983-84,20
Conservative,1982-83,5
Conservative,1981-82,7
Conservative,1980-81,18
Conservative,1979-80,15
Labour,1978-79,11
Labour,1977-78,78
Labour,1976-77,25
Labour,1975-76,126
