"year","reversals","fasttrack","recalls","prorog_orderpap","confidence","surprise_resid","so24","n_components","dislocation_index","z_fasttrack","z_recalls","z_confidence","z_so24"
1979,0,2,0,0,3,-1.5170606338663,1,4,0.799562597032861,-0.232926205941384,-0.599964770025857,4.16394219870381,-0.132800834605125
1980,0,2,0,0,1,-2.86916255917628,1,4,0.042482197268532,-0.232926205941384,-0.599964770025857,1.13562059964649,-0.132800834605125
1981,0,3,0,0,1,-2.86916255917628,2,4,0.298168272167241,0.299476550496065,-0.599964770025857,1.13562059964649,0.35754070855226
1982,0,1,2,0,0,-1.86916255917628,2,4,0.279476888875941,-0.765328962378833,1.9042360092125,-0.378540199882165,0.35754070855226
1983,0,7,0,0,0,1.27117150768581,2,4,0.452030828722525,2.42908757624586,-0.599964770025857,-0.378540199882165,0.35754070855226
1984,0,2,0,0,0,0.271171507685812,3,4,-0.0908872310349401,-0.232926205941384,-0.599964770025857,-0.378540199882165,0.847882251709646
1985,0,3,0,0,0.5,0.271171507685812,0,4,-0.136272599352534,0.299476550496065,-0.599964770025857,0.378540199882165,-0.623142377762511
1986,0,0,0,0,0,1.27117150768581,2,4,-0.479673995043011,-1.29773171881628,-0.599964770025857,-0.378540199882165,0.35754070855226
1987,0,1,0,0,0,-1.03470998546476,1,4,-0.469158691722995,-0.765328962378833,-0.599964770025857,-0.378540199882165,-0.132800834605125
1988,0,1,0,0,0,-1.03470998546476,1,4,-0.469158691722995,-0.765328962378833,-0.599964770025857,-0.378540199882165,-0.132800834605125
1989,0,1,0,0,0,-1.03470998546476,1,4,-0.469158691722995,-0.765328962378833,-0.599964770025857,-0.378540199882165,-0.132800834605125
1990,0,2,1,0,0.5,-0.0347099854647619,0,4,0.0436518089428983,-0.232926205941384,0.652135619593323,0.378540199882165,-0.623142377762511
1991,3,5,0,0,0,-1.03470998546476,0,4,-0.0593413210748923,1.36428206337096,-0.599964770025857,-0.378540199882165,-0.623142377762511
1992,3,4,1,0,0,-3.55319572225515,0,4,0.12058308722054,0.831879306933514,0.652135619593323,-0.378540199882165,-0.623142377762511
1993,0,2,0,0,2,-1.55319572225515,1,4,0.421022397150697,-0.232926205941384,-0.599964770025857,2.64978139917515,-0.132800834605125
1994,0,2,0,0,0,-2.55319572225515,0,4,-0.458643388402979,-0.232926205941384,-0.599964770025857,-0.378540199882165,-0.623142377762511
1995,0,2,1,0,0,-2.55319572225515,0,4,-0.145618290998184,-0.232926205941384,0.652135619593323,-0.378540199882165,-0.623142377762511
1996,0,4,0,0,0,-2.55319572225515,0,4,-0.192442010184255,0.831879306933514,-0.599964770025857,-0.378540199882165,-0.623142377762511
1997,0,2,0,0,0,-2.55319572225515,0,4,-0.458643388402979,-0.232926205941384,-0.599964770025857,-0.378540199882165,-0.623142377762511
1998,0,3,1,0,0,1.35940608531129,0,4,-0.0125176018888218,0.299476550496065,0.652135619593323,-0.378540199882165,-0.623142377762511
1999,0,1,0,0,0,1.35940608531129,0,4,-0.591744077512341,-0.765328962378833,-0.599964770025857,-0.378540199882165,-0.623142377762511
2000,0,1,0,0,0,1.35940608531129,0,4,-0.591744077512341,-0.765328962378833,-0.599964770025857,-0.378540199882165,-0.623142377762511
2001,0,3,2,0,0,0.986297087268269,0,4,0.300507495515973,0.299476550496065,1.9042360092125,-0.378540199882165,-0.623142377762511
2002,0,0,2,0,0,0.986297087268269,1,4,0.0237908139772327,-1.29773171881628,1.9042360092125,-0.378540199882165,-0.132800834605125
2003,0,3,0,0,0,0.986297087268269,0,4,-0.325542699293617,0.299476550496065,-0.599964770025857,-0.378540199882165,-0.623142377762511
2004,0,1,0,0,0,0.986297087268269,0,4,-0.591744077512341,-0.765328962378833,-0.599964770025857,-0.378540199882165,-0.623142377762511
2005,0,1,0,0,0,-1.15403697959383,0,4,-0.591744077512341,-0.765328962378833,-0.599964770025857,-0.378540199882165,-0.623142377762511
2006,0,2,0,0,0,0.845963020406175,1,4,-0.336058002613633,-0.232926205941384,-0.599964770025857,-0.378540199882165,-0.132800834605125
2007,1,1,0,0,0,-2.15403697959383,0,4,-0.591744077512341,-0.765328962378833,-0.599964770025857,-0.378540199882165,-0.623142377762511
