"year","cowley_rate","instability","lords_defeats","pc1"
1979,12,0.799562597032861,15,0.194996809548016
1980,12,0.042482197268532,18,-0.69695573440338
1981,12,0.298168272167241,7,-0.540077316574513
1982,12,0.279476888875941,5,-0.592078751615829
1983,16,0.452030828722525,20,0.0682237919471114
1984,16,-0.0908872310349401,17,-0.645875817956649
1985,16,-0.136272599352534,22,-0.629672064837942
1986,16,-0.479673995043011,3,-1.32856044469364
1987,12,-0.469158691722995,17,-1.34350509770105
1988,12,-0.469158691722995,12,-1.4157791238313
1989,12,-0.469158691722995,20,-1.30014068202289
1990,12,0.0436518089428983,17,-0.709965570725791
1991,12,-0.0593413210748923,6,-0.996208839218846
1992,13,0.12058308722054,19,-0.528437341824804
1993,13,0.421022397150697,16,-0.200631163198114
1994,13,-0.458643388402979,7,-1.41748656692072
1995,13,-0.145618290998184,10,-0.987402745372945
1996,13,-0.192442010184255,10,-1.04524999472889
1997,8,-0.458643388402979,39,-1.24281130890004
1998,8,-0.0125176018888218,31,-0.807294266581992
1999,8,-0.591744077512341,36,-1.45061180283504
2000,8,-0.591744077512341,2,-1.94207518052078
2001,21,0.300507495515973,56,0.689279393892626
2002,21,0.0237908139772327,88,0.809970123414344
2003,21,-0.325542699293617,64,0.0314790239617938
2004,21,-0.591744077512341,37,-0.687672873655273
2005,28,-0.591744077512341,62,0.0767271698941645
2006,28,-0.336058002613633,45,0.146876756366723
2007,28,-0.591744077512341,29,-0.400281402565531
2008,28,-0.469158691722995,25,-0.306655426411145
2009,28,-0.591744077512341,14,-0.617103480956302
2010,35,-0.458643388402979,24,0.0949105624592034
2011,35,0.289992192195957,24,1.01979457125704
2012,35,-0.0803719277149242,27,0.605601450511383
2013,35,0.156891503086595,14,0.710810440739685
2014,35,-0.1561335943182,11,0.28072661919191
2015,29,-0.223987920144302,60,0.559728852460433
2016,29,-0.0440635118488696,38,0.464006465100084
2017,40,0.644625083701138,34.5,1.89757130007304
2018,40,1.16651253681857,34.5,2.54232473190215
2019,40,1.75679179415033,57.5,3.60403171056439
2020,26,1.08859632685213,57.5,1.97246569928746
2021,26,0.858703364499461,128,2.7075136793681
2022,26,0.963940456908162,125,2.79416192462081
2023,26,0.063244064714454,43,0.496123976999953
2024,8.7,-0.458643388402979,104,-0.262945977916887
2025,8.7,-0.1561335943182,104,0.110782546754488
2026,8.7,-0.0698566243949083,104,0.217371375655386
