year,department,change_type,notes,source,source_detail,verification
1979,Dept of Prices and Consumer Protection,abolished,Responsibilities reintegrated into Dept of Trade,IfG/White&Dunleavy,"White & Dunleavy (2010) Fig 4, p.16 + prose; researchonline.lse.ac.uk/id/eprint/27949/",verified 2026-08-16
1983,Department of Trade and Industry,recreated,Trade and Industry remerged after 1979 split,IfG/White&Dunleavy,"White & Dunleavy (2010) Fig 4, p.16 + prose; researchonline.lse.ac.uk/id/eprint/27949/",verified 2026-08-16
1992,Department of Energy,abolished,Merged into DTI following energy privatisation,IfG/White&Dunleavy,"White & Dunleavy (2010) Fig 4, p.16 + prose; researchonline.lse.ac.uk/id/eprint/27949/",verified 2026-08-16
1992,Department of National Heritage,created,Arts/broadcasting/sport/heritage consolidated,IfG/White&Dunleavy,"White & Dunleavy (2010) Fig 4, p.16 + prose; researchonline.lse.ac.uk/id/eprint/27949/",verified 2026-08-16
1995,Department for Education and Employment (DfEE),created,Merger of DfE and Dept of Employment. CORRECTED 16 Aug 2026: was dated 1997; W&D Fig 4 places DEE in the 1995 column and the prose dates it to the Conservative government ('scrapped after six years' at DWP's creation in 2001).,IfG,"White & Dunleavy (2010) Fig 4, p.16 + prose; researchonline.lse.ac.uk/id/eprint/27949/",verified 2026-08-16
1997,Dept of Environment Transport and Regions (DETR),created,Merger of DoE + transport functions; agriculture later added,IfG,"White & Dunleavy (2010) Fig 4, p.16 + prose; researchonline.lse.ac.uk/id/eprint/27949/",verified 2026-08-16
1997,Department for Culture Media and Sport (DCMS),created,Replaced Dept of National Heritage,IfG,"White & Dunleavy (2010) Fig 4, p.16 + prose; researchonline.lse.ac.uk/id/eprint/27949/",verified 2026-08-16
2001,Department for Education and Skills (DfES),created,Renamed from DfEE; employment to new DWP,IfG,"White & Dunleavy (2010) Fig 4, p.16 + prose; researchonline.lse.ac.uk/id/eprint/27949/",verified 2026-08-16
2001,Department for Work and Pensions (DWP),created,Merger of DSS + Employment Service + employment policy from DfEE,IfG,"White & Dunleavy (2010) Fig 4, p.16 + prose; researchonline.lse.ac.uk/id/eprint/27949/",verified 2026-08-16
2001,DETR,abolished,Split into DTLR and DEFRA,IfG,"White & Dunleavy (2010) Fig 4, p.16 + prose; researchonline.lse.ac.uk/id/eprint/27949/",verified 2026-08-16
2001,Dept for Environment Food and Rural Affairs (DEFRA),created,DETR environmental elements merged with MAFF,IfG,"White & Dunleavy (2010) Fig 4, p.16 + prose; researchonline.lse.ac.uk/id/eprint/27949/",verified 2026-08-16
2001,Dept for Transport Local Government and Regions (DTLR),created,Transport + local government from DETR,IfG,"White & Dunleavy (2010) Fig 4, p.16 + prose; researchonline.lse.ac.uk/id/eprint/27949/",verified 2026-08-16
2002,DTLR,abolished,Local govt to ODPM; transport separated,IfG,"White & Dunleavy (2010) Fig 4, p.16 + prose; researchonline.lse.ac.uk/id/eprint/27949/",verified 2026-08-16
2002,Department for Transport (DfT),created,Established as separate transport department,IfG,"White & Dunleavy (2010) Fig 4, p.16 + prose; researchonline.lse.ac.uk/id/eprint/27949/",verified 2026-08-16
2002,ODPM,expanded,Became separate department absorbing local govt and regions,IfG,"White & Dunleavy (2010) Fig 4, p.16 + prose; researchonline.lse.ac.uk/id/eprint/27949/",verified 2026-08-16
2006,ODPM,abolished/renamed,Became Dept for Communities and Local Government (DCLG),IfG,"White & Dunleavy (2010) Fig 4, p.16 + prose; researchonline.lse.ac.uk/id/eprint/27949/",verified 2026-08-16
2007,Dept for Innovation Universities and Skills (DIUS),created,DfES higher education/skills + DTI innovation,IfG,"White & Dunleavy (2010) Fig 4, p.16 + prose; researchonline.lse.ac.uk/id/eprint/27949/",verified 2026-08-16
2007,Dept for Business Enterprise and Regulatory Reform (DBERR),created,Formed from DTI,IfG,"White & Dunleavy (2010) Fig 4, p.16 + prose; researchonline.lse.ac.uk/id/eprint/27949/",verified 2026-08-16
2007,Dept for Children Schools and Families (DCSF),created,Demerged from DfES for child protection and schools,IfG,"White & Dunleavy (2010) Fig 4, p.16 + prose; researchonline.lse.ac.uk/id/eprint/27949/",verified 2026-08-16
2008,Dept for Energy and Climate Change (DECC),created,Climate change from DEFRA + energy from DBERR,IfG,"White & Dunleavy (2010) Fig 4, p.16 + prose; researchonline.lse.ac.uk/id/eprint/27949/",verified 2026-08-16
2009,Dept for Business Innovation and Skills (BIS),created,Merger of DIUS and DBERR,IfG,"White & Dunleavy (2010) Fig 4, p.16 + prose; researchonline.lse.ac.uk/id/eprint/27949/",verified 2026-08-16
