year,n,n_in_force,n_manifesto,n_manifesto_broad,n_uncorrected,chapter_chars,per_100k
1979,7,4,1,1,9,136205,5.139
1980,6,3,0,0,7,128874,4.656
1981,10,7,0,0,13,141081,7.088
1982,7,5,0,0,8,148871,4.702
1983,3,1,0,0,3,126745,2.367
1984,2,0,0,0,2,140841,1.42
1985,4,4,0,0,4,131034,3.053
1986,1,1,0,0,1,117761,0.849
1987,2,1,0,0,2,110123,1.816
1988,4,2,0,0,4,110264,3.628
1989,5,2,0,0,6,112212,4.456
1990,9,6,1,1,12,123088,7.312
1991,3,2,1,1,6,114058,2.63
1992,6,5,0,1,10,120234,4.99
1993,10,6,1,1,12,120472,8.301
1994,9,6,0,0,10,126828,7.096
1995,8,5,0,0,8,122606,6.525
1996,7,6,0,0,8,123816,5.654
1997,3,0,1,2,4,149507,2.007
1998,1,0,0,1,1,109948,0.91
1999,1,1,0,0,0,126029,0.793
2000,2,2,0,0,3,95666,2.091
2001,8,6,0,0,10,93998,8.511
2002,1,1,0,0,1,101621,0.984
2003,3,2,0,0,3,107908,2.78
2004,4,2,0,0,4,92091,4.344
2005,5,0,0,1,5,83623,5.979
2006,3,0,0,0,3,85013,3.529
2007,0,0,0,0,0,81938,0.0
2008,5,2,1,1,5,74863,6.679
2009,5,3,0,0,6,65151,7.674
2010,3,1,2,2,3,70459,4.258
2011,0,0,0,0,0,61895,0.0
2012,3,1,0,0,3,47046,6.377
2013,4,3,0,0,4,44538,8.981
2014,0,0,0,0,0,50572,0.0
2015,5,4,0,0,5,58848,8.496
2016,6,3,1,2,6,59252,10.126
2017,6,2,1,2,7,52111,11.514
2018,4,2,0,1,4,49672,8.053
2019,4,3,0,1,4,65535,6.104
2020,9,7,1,2,9,58819,15.301
2021,6,4,2,2,6,62313,9.629
2022,7,4,0,0,9,58980,11.868
2023,7,4,0,0,8,57703,12.131
2024,4,4,1,1,3,64030,6.247
2025,8,4,0,0,9,76039,10.521
