"name","start","end","country","tenure_years"
"Attlee",1945-07-26,1951-10-26,"UK",6.25051334702259
"Churchill",1951-10-26,1955-04-06,"UK",3.44421629021218
"Eden",1955-04-06,1957-01-10,"UK",1.76591375770021
"Macmillan",1957-01-10,1963-10-19,"UK",6.77070499657769
"Douglas-Home",1963-10-19,1964-10-16,"UK",0.993839835728953
"Wilson (1st)",1964-10-16,1970-06-19,"UK",5.67282683093771
"Heath",1970-06-19,1974-03-04,"UK",3.70704996577687
"Wilson (2nd)",1974-03-04,1976-04-05,"UK",2.08898015058179
"Callaghan",1976-04-05,1979-05-04,"UK",3.07734428473648
"Thatcher",1979-05-04,1990-11-28,"UK",11.5701574264203
"Major",1990-11-28,1997-05-02,"UK",6.42573579739904
"Blair",1997-05-02,2007-06-27,"UK",10.1519507186858
"Brown",2007-06-27,2010-05-11,"UK",2.87200547570157
"Cameron",2010-05-11,2016-07-13,"UK",6.17385352498289
"May",2016-07-13,2019-07-24,"UK",3.0280629705681
"Johnson",2019-07-24,2022-09-06,"UK",3.1211498973306
"Truss",2022-09-06,2022-10-25,"UK",0.134154688569473
"Sunak",2022-10-25,2024-07-05,"UK",1.69472963723477
"Starmer",2024-07-05,2026-07-20,"UK",2.03969883641342
"Burnham",2026-07-20,2026-07-31,"UK",0.0301163586584531
"Adenauer",1949-09-20,1963-10-16,"Germany",14.0698151950719
"Erhard",1963-10-16,1966-12-01,"Germany",3.12662559890486
"Kiesinger",1966-12-01,1969-10-21,"Germany",2.88843258042437
"Brandt",1969-10-21,1974-05-16,"Germany",4.56673511293635
"Schmidt",1974-05-16,1982-10-01,"Germany",8.37782340862423
"Kohl",1982-10-01,1998-10-27,"Germany",16.0711841204654
"Schroeder",1998-10-27,2005-11-22,"Germany",7.07186858316222
"Merkel",2005-11-22,2021-12-08,"Germany",16.0438056125941
"Scholz",2021-12-08,2025-05-06,"Germany",3.40862422997947
"Merz",2025-05-06,2026-07-31,"Germany",1.23477070499658
"Mackenzie King",1945-01-01,1948-11-15,"Canada",3.87132101300479
"St Laurent",1948-11-15,1957-06-21,"Canada",8.5968514715948
"Diefenbaker",1957-06-21,1963-04-22,"Canada",5.83436002737851
"Pearson",1963-04-22,1968-04-20,"Canada",4.99657768651609
"Trudeau P (1st)",1968-04-20,1979-06-04,"Canada",11.1211498973306
"Clark",1979-06-04,1980-03-03,"Canada",0.747433264887064
"Trudeau P (2nd)",1980-03-03,1984-06-30,"Canada",4.32580424366872
"Turner",1984-06-30,1984-09-17,"Canada",0.216290212183436
"Mulroney",1984-09-17,1993-06-25,"Canada",8.76933607118412
"Campbell",1993-06-25,1993-11-04,"Canada",0.361396303901437
"Chretien",1993-11-04,2003-12-12,"Canada",10.1026694045175
"Martin",2003-12-12,2006-02-06,"Canada",2.15468856947296
"Harper",2006-02-06,2015-11-04,"Canada",9.74127310061602
"Trudeau J",2015-11-04,2025-03-14,"Canada",9.35797399041752
"Carney",2025-03-14,2026-07-31,"Canada",1.37987679671458
"Curtin",1945-01-01,1945-07-05,"Australia",0.506502395619439
"Forde",1945-07-06,1945-07-13,"Australia",0.0191649555099247
"Chifley",1945-07-13,1949-12-19,"Australia",4.435318275154
"Menzies",1949-12-19,1966-01-26,"Australia",16.104038329911
"Holt",1966-01-26,1967-12-19,"Australia",1.89459274469541
"McEwen",1967-12-19,1968-01-10,"Australia",0.0602327173169062
"Gorton",1968-01-10,1971-03-10,"Australia",3.16221765913758
"McMahon",1971-03-10,1972-12-05,"Australia",1.74127310061602
"Whitlam",1972-12-05,1975-11-11,"Australia",2.93223819301848
"Fraser",1975-11-11,1983-03-11,"Australia",7.32922655715264
"Hawke",1983-03-11,1991-12-20,"Australia",8.77754962354552
"Keating",1991-12-20,1996-03-11,"Australia",4.22450376454483
"Howard",1996-03-11,2007-12-03,"Australia",11.7289527720739
