year,pm_departures,go_departures,cab_departures,total_departures
1979,1,3,0,4
1980,0,0,0,0
1981,0,0,19,19
1982,0,1,5,6
1983,0,3,17,20
1984,0,0,2,2
1985,0,1,8,9
1986,0,0,6,6
1987,0,0,15,15
1988,0,0,6,6
1989,0,4,14,18
1990,1,2,15,18
1991,0,0,0,0
1992,0,1,17,18
1993,0,2,4,6
1994,0,0,10,10
1995,0,1,15,16
1996,0,0,0,0
1997,1,3,25,29
1998,0,0,15,15
1999,0,0,10,10
2000,0,0,0,0
2001,0,2,16,18
2002,0,0,9,9
2003,0,0,12,12
2004,0,1,2,3
2005,0,0,13,13
2006,0,2,14,16
2007,1,3,27,31
2008,0,0,13,13
2009,0,1,11,12
2010,1,3,31,35
2011,0,0,2,2
2012,0,0,11,11
2013,0,0,3,3
2014,0,1,9,10
2015,0,0,11,11
2016,1,3,18,22
2017,0,0,8,8
2018,0,2,16,18
2019,1,3,23,27
2020,0,1,9,10
2021,0,1,14,15
2022,2,7,45,54
2023,0,2,12,14
2024,1,3,29,33
2025,0,0,13,13
