"end_year","total"
1945,0
1946,0
1947,1
1948,0
1949,0
1950,1
1951,4
1952,0
1953,0
1954,1
1955,3
1956,0
1957,2
1958,1
1959,0
1960,2
1961,0
1962,2
1963,1
1964,3
1965,2
1966,1
1967,2
1968,1
1969,0
1970,4
1971,0
1972,1
1973,0
1974,3
1975,0
1976,2
1977,1
1978,0
1979,3
1980,0
1981,0
1982,1
1983,3
1984,0
1985,1
1986,0
1987,0
1988,0
1989,4
1990,2
1991,0
1992,1
1993,2
1994,0
1995,1
1996,0
1997,3
1998,0
1999,0
2000,0
2001,2
2002,0
2003,0
2004,1
2005,0
2006,2
2007,3
2008,0
2009,1
2010,3
2011,0
2012,0
2013,0
2014,1
2015,0
2016,3
2017,0
2018,2
2019,3
2020,1
2021,1
2022,7
2023,2
2024,3
2025,0
