item,actual,status,n,r,r2_static,r2_lag,lag_p,resid_sd,covid_resid,use_lag,r2_used,signal_to_noise
Unemployment,ONS unemployment rate 16+ (MGSX),ok,44,0.949,0.9,0.902,0.385,8,"4.2, 3.4",FALSE,0.9,3
Inflation,RPI annual rate (CZBH),ok,44,0.907,0.822,0.855,0.00422,5.58,"-0.6, -5.6",TRUE,0.855,2.43
Economy (general),GDP year-on-year growth (IHYP),ok,44,0.443,0.196,0.265,0.0575,15.37,"-40.7, 32.2",FALSE,0.196,0.49
Health / NHS,"NHS total incomplete RTT pathways (millions, December year-end)",ok,16,0.246,0.061,0.049,0.719,10.1,"-4.4, -8.8",FALSE,0.061,0.25
Immigration,"LTIM net migration - spliced (IPS 1979-2011, admin 2012-2025)",ok,43,0.473,0.228,0.348,0.00874,11.58,"-9.2, -2",TRUE,0.348,0.73
Crime,CSEW headline crime excl. fraud/computer misuse (000s incidents),ok,36,0.424,0.18,0.232,0.425,7.76,"-7.9, -8.4",FALSE,0.18,0.47
Education,DfE pupil-to-teacher ratio - total state-funded schools England,ok,10,0.326,0.06,0.596,0.0225,2.44,"3.3, 0.7",TRUE,0.596,1.21
Housing,Nationwide UK first-time-buyer house price to earnings ratio (level),ok,40,0.471,0.238,0.319,0.0276,3.17,"-3.7, -1.8",TRUE,0.319,0.68
Poverty,DWP HBAI relative low income rate BHC (%),ok,28,-0.571,0.357,0.454,0.0232,3.8,"8.4, 4.3",TRUE,0.454,0.91
Pensions,DWP HBAI pensioner relative low income rate BHC (%),ok,29,0.576,0.332,0.366,0.327,2.58,"-4.3, -3.8",FALSE,0.332,0.7
Trade unions / strikes,Working days lost to labour disputes (BBFW),ok,42,0.844,0.712,0.823,1.53e-5,5.04,"0.5, -0.4",TRUE,0.823,2.16
Drugs,Age-standardised drug poisoning mortality rate (persons per million),ok,29,-0.21,0.044,0.124,0.479,1.57,"-2.4, -3.4",FALSE,0.044,0.21
Petrol / fuel,Real RPI petrol & oil index (DOCU deflated by RPI all-items CHAW),ok,37,0.837,0.7,0.696,0.58,1.49,"-0.9, -1.3",FALSE,0.7,1.53
