year,month,ipsos_code,percent_raw,cap_code
1974,9,AID,0,19
1974,9,BF,0,4
1974,9,BSE,0,4
1974,9,Coa,0,1
1974,9,Com,19,9
1974,9,Cou,0,4
1974,9,Cri,8,12
1974,9,Def,0,19
1974,9,Dru,0,12
1974,9,Eco,0,1
1974,9,Edu,12,6
1974,9,Foo,0,4
1974,9,Ger,0,4
1974,9,GM,0,4
1974,9,Hea,0,3
1974,9,Hou,23,14
1974,9,Inf,82,1
1974,9,Inn,0,1
1974,9,LG,0,20
1974,9,Low,0,5
1974,9,Mor,0,20
1974,9,Nat,0,20
1974,9,NHS,3,3
1974,9,NI,6,19
1974,9,NP,0,1
1974,9,Nuc,0,19
1974,9,Pen,10,5
1974,9,Pet,0,1
1974,9,Pol,0,7
1974,9,Pou,0,1
1974,9,Pov,0,5
1974,9,Pri,0,1
1974,9,Pub,0,20
1974,9,Rac,7,9
1974,9,SA,0,19
1974,9,SWA,0,20
1974,9,Tax,0,1
1974,9,TU,22,1
1974,9,Tra,0,10
1974,9,Tsu,0,19
1974,9,Une,9,1
1974,9,Oth,0,99
1974,9,DK,0,99
1974,10,AID,0,19
1974,10,BF,0,4
1974,10,BSE,0,4
1974,10,Coa,0,1
1974,10,Com,10,9
1974,10,Cou,0,4
1974,10,Cri,9,12
1974,10,Def,0,19
1974,10,Dru,0,12
1974,10,Eco,0,1
1974,10,Edu,5,6
1974,10,Foo,0,4
1974,10,Ger,0,4
1974,10,GM,0,4
1974,10,Hea,0,3
1974,10,Hou,27,14
1974,10,Inf,81,1
1974,10,Inn,0,1
1974,10,LG,0,20
1974,10,Low,0,5
1974,10,Mor,0,20
1974,10,Nat,0,20
1974,10,NHS,2,3
1974,10,NI,6,19
1974,10,NP,0,1
1974,10,Nuc,0,19
1974,10,Pen,8,5
1974,10,Pet,0,1
1974,10,Pol,0,7
1974,10,Pou,0,1
1974,10,Pov,0,5
1974,10,Pri,0,1
1974,10,Pub,0,20
1974,10,Rac,5,9
1974,10,SA,0,19
1974,10,SWA,0,20
1974,10,Tax,0,1
1974,10,TU,18,1
1974,10,Tra,0,10
1974,10,Tsu,0,19
1974,10,Une,8,1
1974,10,Oth,0,99
1974,10,DK,0,99
1977,11,AID,0,19
1977,11,BF,0,4
1977,11,BSE,0,4
1977,11,Coa,0,1
1977,11,Com,0,9
1977,11,Cou,0,4
1977,11,Cri,0,12
1977,11,Def,0,19
1977,11,Dru,0,12
1977,11,Eco,0,1
1977,11,Edu,12,6
1977,11,Foo,0,4
1977,11,Ger,0,4
1977,11,GM,0,4
1977,11,Hea,0,3
1977,11,Hou,9,14
1977,11,Inf,64,1
1977,11,Inn,0,1
1977,11,LG,0,20
1977,11,Low,0,5
1977,11,Mor,0,20
1977,11,Nat,0,20
1977,11,NHS,10,3
1977,11,NI,7,19
1977,11,NP,0,1
1977,11,Nuc,0,19
1977,11,Pen,7,5
1977,11,Pet,0,1
1977,11,Pol,0,7
1977,11,Pou,0,1
1977,11,Pov,0,5
1977,11,Pri,0,1
1977,11,Pub,0,20
1977,11,Rac,16,9
1977,11,SA,0,19
1977,11,SWA,0,20
1977,11,Tax,0,1
1977,11,TU,30,1
1977,11,Tra,0,10
1977,11,Tsu,0,19
1977,11,Une,50,1
1977,11,Oth,0,99
1977,11,DK,0,99
1978,8,AID,0,19
1978,8,BF,0,4
1978,8,BSE,0,4
1978,8,Coa,0,1
1978,8,Com,9,9
1978,8,Cou,0,4
1978,8,Cri,23,12
1978,8,Def,0,19
1978,8,Dru,0,12
1978,8,Eco,0,1
1978,8,Edu,15,6
1978,8,Foo,0,4
1978,8,Ger,0,4
1978,8,GM,0,4
1978,8,Hea,0,3
1978,8,Hou,12,14
1978,8,Inf,63,1
1978,8,Inn,0,1
1978,8,LG,0,20
1978,8,Low,0,5
1978,8,Mor,0,20
1978,8,Nat,0,20
1978,8,NHS,11,3
1978,8,NI,7,19
1978,8,NP,0,1
1978,8,Nuc,0,19
1978,8,Pen,0,5
1978,8,Pet,0,1
1978,8,Pol,0,7
1978,8,Pou,0,1
1978,8,Pov,0,5
1978,8,Pri,7,1
1978,8,Pub,0,20
1978,8,Rac,27,9
1978,8,SA,0,19
1978,8,SWA,0,20
1978,8,Tax,0,1
1978,8,TU,25,1
1978,8,Tra,0,10
1978,8,Tsu,0,19
1978,8,Une,55,1
1978,8,Oth,0,99
1978,8,DK,0,99
1979,2,AID,0,19
1979,2,BF,0,4
1979,2,BSE,0,4
1979,2,Coa,0,1
1979,2,Com,9,9
1979,2,Cou,0,4
1979,2,Cri,14,12
1979,2,Def,0,19
1979,2,Dru,0,12
1979,2,Eco,0,1
1979,2,Edu,9,6
1979,2,Foo,0,4
1979,2,Ger,0,4
1979,2,GM,0,4
1979,2,Hea,0,3
1979,2,Hou,9,14
1979,2,Inf,66,1
1979,2,Inn,0,1
1979,2,LG,0,20
1979,2,Low,0,5
1979,2,Mor,0,20
1979,2,Nat,0,20
1979,2,NHS,15,3
1979,2,NI,5,19
1979,2,NP,0,1
1979,2,Nuc,0,19
1979,2,Pen,0,5
1979,2,Pet,0,1
1979,2,Pol,0,7
1979,2,Pou,0,1
1979,2,Pov,0,5
1979,2,Pri,0,1
1979,2,Pub,0,20
1979,2,Rac,10,9
1979,2,SA,0,19
1979,2,SWA,0,20
1979,2,Tax,0,1
1979,2,TU,73,1
1979,2,Tra,0,10
1979,2,Tsu,0,19
1979,2,Une,31,1
1979,2,Oth,0,99
1979,2,DK,0,99
1979,3,AID,0,19
1979,3,BF,0,4
1979,3,BSE,0,4
1979,3,Coa,0,1
1979,3,Com,12,9
1979,3,Cou,0,4
1979,3,Cri,10,12
1979,3,Def,0,19
1979,3,Dru,0,12
1979,3,Eco,0,1
1979,3,Edu,5,6
1979,3,Foo,0,4
1979,3,Ger,0,4
1979,3,GM,0,4
1979,3,Hea,0,3
1979,3,Hou,7,14
1979,3,Inf,59,1
1979,3,Inn,0,1
1979,3,LG,0,20
1979,3,Low,0,5
1979,3,Mor,0,20
1979,3,Nat,2,20
1979,3,NHS,2,3
1979,3,NI,2,19
1979,3,NP,0,1
1979,3,Nuc,0,19
1979,3,Pen,7,5
1979,3,Pet,0,1
1979,3,Pol,0,7
1979,3,Pou,0,1
1979,3,Pov,0,5
1979,3,Pri,0,1
1979,3,Pub,0,20
1979,3,Rac,5,9
1979,3,SA,0,19
1979,3,SWA,1,20
1979,3,Tax,14,1
1979,3,TU,32,1
1979,3,Tra,0,10
1979,3,Tsu,0,19
1979,3,Une,28,1
1979,3,Oth,0,99
1979,3,DK,0,99
1979,4,AID,0,19
1979,4,BF,0,4
1979,4,BSE,0,4
1979,4,Coa,0,1
1979,4,Com,14,9
1979,4,Cou,0,4
1979,4,Cri,41,12
1979,4,Def,0,19
1979,4,Dru,0,12
1979,4,Eco,0,1
1979,4,Edu,17,6
1979,4,Foo,0,4
1979,4,Ger,0,4
1979,4,GM,0,4
1979,4,Hea,0,3
1979,4,Hou,16,14
1979,4,Inf,68,1
1979,4,Inn,0,1
1979,4,LG,0,20
1979,4,Low,0,5
1979,4,Mor,0,20
1979,4,Nat,0,20
1979,4,NHS,17,3
1979,4,NI,18,19
1979,4,NP,0,1
1979,4,Nuc,0,19
1979,4,Pen,0,5
1979,4,Pet,0,1
1979,4,Pol,0,7
1979,4,Pou,0,1
1979,4,Pov,0,5
1979,4,Pri,0,1
1979,4,Pub,0,20
1979,4,Rac,16,9
1979,4,SA,0,19
1979,4,SWA,0,20
1979,4,Tax,0,1
1979,4,TU,56,1
1979,4,Tra,0,10
1979,4,Tsu,0,19
1979,4,Une,53,1
1979,4,Oth,0,99
1979,4,DK,0,99
1980,2,AID,0,19
1980,2,AW,0,4
1980,2,BF,0,4
1980,2,BSE,0,4
1980,2,Coa,0,1
1980,2,Com,15,9
1980,2,Cou,0,4
1980,2,Cri,19,12
1980,2,Def,0,19
1980,2,Dru,0,12
1980,2,Eco,0,1
1980,2,Edu,18,6
1980,2,Foo,0,4
1980,2,Ger,0,4
1980,2,GM,0,4
1980,2,Hea,0,3
1980,2,Hou,12,14
1980,2,Inf,65,1
1980,2,Inn,0,1
1980,2,LG,0,20
1980,2,Low,0,5
1980,2,Mor,0,20
1980,2,Nat,0,20
1980,2,NHS,12,3
1980,2,NI,11,19
1980,2,NP,0,1
1980,2,Nuc,0,19
1980,2,Pen,7,5
1980,2,Pet,0,1
1980,2,Pol,0,7
1980,2,Pou,0,1
