year,n_backbench,backbench_ratio,n_frontbench,frontbench_ratio,fb_share
1979,940,0.3606840858566062,548,0.4102874745894819,0.3682795698924731
1980,894,0.3647188430930535,598,0.41258571103519953,0.4008042895442359
1981,884,0.34998827108630043,605,0.417870469750635,0.40631296171927467
1982,882,0.36300926746317147,602,0.41329143040325067,0.4056603773584906
1983,845,0.3692099950841476,643,0.4084748142388111,0.4321236559139785
1984,876,0.3668475939127128,616,0.4080075723338711,0.4128686327077748
1985,854,0.36449161493287746,641,0.4003188951087456,0.4287625418060201
1986,873,0.36677850428076514,622,0.41409585891747325,0.4160535117056856
1987,869,0.367012581231845,623,0.4109652894274209,0.4175603217158177
1988,878,0.3670361593590973,617,0.42299109813291336,0.41270903010033444
1989,899,0.3559524231111082,597,0.4114950623707644,0.39906417112299464
1990,818,0.3579094832817459,677,0.4035086876852017,0.4528428093645485
1991,844,0.3734676770472928,648,0.4073955657833654,0.4343163538873995
1992,810,0.3678500696321587,682,0.4118863785286073,0.4571045576407507
1993,876,0.371238550203678,620,0.4075387316410732,0.4144385026737968
1994,847,0.3680925001402072,644,0.4112240782854137,0.431924882629108
1995,821,0.36368097880958805,675,0.40268665490887706,0.45120320855614976
1996,788,0.35333434654033996,700,0.4045481753307383,0.47043010752688175
1997,815,0.35124066253126157,678,0.3931649277058569,0.45411922304085733
1998,806,0.3635973750195214,689,0.3826665551429702,0.4608695652173913
1999,778,0.3533212401633454,714,0.3913709500894375,0.4785522788203753
2000,734,0.36246136870204704,762,0.38785888411484143,0.5093582887700535
2001,734,0.3397375138783965,764,0.36604174587735827,0.5100133511348465
2002,704,0.341648199110499,790,0.3777576899745454,0.5287817938420348
2003,656,0.3548825437919477,837,0.3728149966224497,0.5606162089752177
2004,685,0.3324846553203367,812,0.3801126050116804,0.5424181696726786
2005,624,0.34754464457696715,871,0.3739490770453497,0.5826086956521739
2006,622,0.35481920089111824,871,0.3747316945078139,0.5833891493636972
2007,614,0.35944091757648094,882,0.3712725019060053,0.589572192513369
2008,639,0.3584778658135466,853,0.3646274389606746,0.57171581769437
2009,587,0.35724226322607927,908,0.3596213443078042,0.6073578595317726
2010,685,0.3504692704842984,808,0.38784517531423474,0.5411922304085733
2011,738,0.3443400712395811,757,0.3960774213368422,0.5063545150501673
2012,681,0.3551479600941897,800,0.3897862172083919,0.5401755570560433
2013,711,0.356130549297278,782,0.3844159836327356,0.5237776289350301
2014,721,0.36194866256412717,770,0.38888694349852676,0.5164319248826291
2015,694,0.34956675927762126,795,0.3745286375871837,0.5339153794492948
2016,719,0.35492418260151226,778,0.36837896512896645,0.5197060788243153
2017,719,0.3568811313778739,771,0.3859944889041937,0.5174496644295302
2018,652,0.35319797318444013,841,0.3925824580030883,0.5632953784326858
2019,645,0.37623839769188605,849,0.38608860711334203,0.5682730923694779
