year,n_backbench,backbench_ratio,n_frontbench,frontbench_ratio,backbench_n_career_sum,frontbench_n_career_sum,backbench_n_policy_sum,frontbench_n_policy_sum,fb_share
1979,940,0.00836363636363636,548,0.01048951048951049,11,4,1363,424,0.3682795698924731
1980,894,0.00764388489208633,598,0.00841346153846153,8,3,1103,412,0.4008042895442359
1981,884,0.00849963045084996,605,0.00823529411764706,11,3,1341,421,0.40631296171927467
1982,882,0.00421133231240428,602,0.00603864734299516,5,2,1300,411,0.4056603773584906
1983,845,0.00844051446945337,643,0.01173285198555956,10,6,1233,547,0.4321236559139785
1984,876,0.00876460767946577,616,0.01205936920222634,10,6,1187,532,0.4128686327077748
1985,854,0.0037251655629139,641,0.00844277673545966,4,4,1203,528,0.4287625418060201
1986,873,0.01487826871055004,622,0.00823529411764706,16,3,1092,421,0.4160535117056856
1987,869,0.01004366812227074,623,0.01113360323886639,11,5,1133,488,0.4175603217158177
1988,878,0.00661959399823477,617,0.0108958837772397,7,4,1125,408,0.41270903010033444
1989,899,0.01215686274509804,597,0.00980392156862745,15,4,1259,454,0.39906417112299464
1990,818,0.00380388841927303,677,0.0060553633217993,4,3,1178,574,0.4528428093645485
1991,844,0.00661241098677517,648,0.02333333333333333,6,10,976,439,0.4343163538873995
1992,810,0.01001742160278745,682,0.015625,11,8,1136,535,0.4571045576407507
1993,876,0.00770020533880903,620,0.00306748466257668,7,1,966,487,0.4144385026737968
1994,847,0.01056014692378328,644,0.01245210727969348,11,6,1077,515,0.431924882629108
1995,821,0.01271929824561403,675,0.0252442996742671,14,15,1125,598,0.45120320855614976
1996,788,0.00277337559429477,700,0.01499118165784832,3,8,1258,558,0.47043010752688175
1997,815,0.0068,678,0.00533536585365853,8,3,1241,652,0.45411922304085733
1998,806,0.00393700787401574,689,0.01034482758620689,3,7,885,717,0.4608695652173913
1999,778,0.00562283737024221,714,0.01083333333333333,6,6,1149,593,0.4785522788203753
2000,734,0.00747756729810568,762,0.00838709677419354,7,6,995,768,0.5093582887700535
2001,734,0.0066045066045066,764,0.00582627118644067,8,5,1278,938,0.5100133511348465
2002,704,0.00923482849604221,790,0.0103280680437424,10,8,1126,814,0.5287817938420348
2003,656,0.0070118662351672,837,0.00473186119873817,6,4,920,946,0.5606162089752177
2004,685,0.00886824324324324,812,0.01159274193548387,10,11,1173,980,0.5424181696726786
2005,624,0.01336898395721925,871,0.01076779026217228,12,11,922,1056,0.5826086956521739
2006,622,0.00731981981981982,871,0.0092391304347826,6,8,881,911,0.5833891493636972
2007,614,0.005125284738041,882,0.0132837407013815,4,12,873,928,0.589572192513369
2008,639,0.00811485642946317,853,0.00796178343949044,6,7,794,934,0.57171581769437
2009,587,0.00904033379694019,908,0.00832012678288431,6,10,712,1251,0.6073578595317726
2010,685,0.00818777292576419,808,0.00706940874035989,7,5,908,772,0.5411922304085733
2011,738,0.00902184235517568,757,0.01411589895988113,9,9,1043,663,0.5063545150501673
2012,681,0.00484913793103448,800,0.00330250990752972,4,2,923,754,0.5401755570560433
2013,711,0.01071025930101465,782,0.00734312416555407,9,5,877,743,0.5237776289350301
2014,721,0.02116704805491991,770,0.01497395833333333,18,11,855,756,0.5164319248826291
2015,694,0.01265182186234817,795,0.01245937161430119,12,11,975,911,0.5339153794492948
2016,719,0.00510783200908059,778,0.01424050632911392,4,13,876,934,0.5197060788243153
2017,719,0.00605060506050605,771,0.01169188445667125,5,8,903,718,0.5174496644295302
2018,652,0.01467136150234741,841,0.0087956698240866,12,6,839,732,0.5632953784326858
2019,645,0.01077943615257048,849,0.0226161369193154,6,18,596,799,0.5682730923694779
2020,594,0.0033301617507136,901,0.01186291739894551,3,13,1047,1124,0.6026755852842809
2021,635,0.01023131672597864,855,0.01174812030075187,11,12,1112,1051,0.5738255033557047
2022,614,0.01148730350665054,878,0.01027027027027027,9,9,817,915,0.5884718498659517
2023,591,0.00865051903114187,903,0.01,7,10,859,1039,0.6044176706827309
2024,655,0.00905624404194471,840,0.01635282457879088,9,16,1039,992,0.5618729096989966
2025,732,0.01263066202090592,764,0.00263713080168776,14,2,1133,945,0.5106951871657754
