year,n_backbench,backbench_ratio,n_frontbench,frontbench_ratio,backbench_n_career_sum,frontbench_n_career_sum,backbench_n_policy_sum,frontbench_n_policy_sum
1979,940,0.008363636363636363,548,0.01048951048951049,11,4,1363,424
1980,894,0.007643884892086331,598,0.008413461538461538,8,3,1103,412
1981,884,0.008499630450849963,605,0.00823529411764706,11,3,1341,421
1982,882,0.004211332312404288,602,0.006038647342995169,5,2,1300,411
1983,845,0.008440514469453377,643,0.011732851985559567,10,6,1233,547
1984,876,0.008764607679465776,616,0.012059369202226345,10,6,1187,532
1985,854,0.0037251655629139072,641,0.008442776735459663,4,4,1203,528
1986,873,0.014878268710550046,622,0.00823529411764706,16,3,1092,421
1987,869,0.010043668122270743,623,0.011133603238866396,11,5,1133,488
1988,878,0.006619593998234775,617,0.010895883777239709,7,4,1125,408
1989,899,0.01215686274509804,597,0.00980392156862745,15,4,1259,454
1990,818,0.0038038884192730348,677,0.006055363321799308,4,3,1178,574
1991,844,0.006612410986775178,648,0.023333333333333334,6,10,976,439
1992,810,0.010017421602787456,682,0.015625,11,8,1136,535
1993,876,0.0077002053388090345,620,0.003067484662576687,7,1,966,487
1994,847,0.010560146923783287,644,0.012452107279693486,11,6,1077,515
1995,821,0.012719298245614035,675,0.025244299674267102,14,15,1125,598
1996,788,0.0027733755942947703,700,0.014991181657848324,3,8,1258,558
1997,815,0.0068,678,0.005335365853658537,8,3,1241,652
1998,806,0.003937007874015748,689,0.010344827586206896,3,7,885,717
1999,778,0.005622837370242215,714,0.010833333333333334,6,6,1149,593
2000,734,0.007477567298105683,762,0.008387096774193548,7,6,995,768
2001,734,0.006604506604506605,764,0.005826271186440678,8,5,1278,938
2002,704,0.009234828496042216,790,0.010328068043742407,10,8,1126,814
2003,656,0.007011866235167206,837,0.00473186119873817,6,4,920,946
2004,685,0.008868243243243243,812,0.011592741935483871,10,11,1173,980
2005,624,0.013368983957219251,871,0.010767790262172285,12,11,922,1056
2006,622,0.00731981981981982,871,0.0092391304347826091,6,8,881,911
2007,614,0.005125284738041002,882,0.013283740701381509,4,12,873,928
2008,639,0.008114856429463172,853,0.007961783439490446,6,7,794,934
2009,587,0.009040333796940195,908,0.00832012678288431,6,10,712,1251
2010,685,0.008187772925764192,808,0.007069408740359897,7,5,908,772
2011,738,0.009021842355175688,757,0.01411589895988113,9,9,1043,663
2012,681,0.004849137931034483,800,0.0033025099075297227,4,2,923,754
2013,711,0.010710259301014656,782,0.007343124165554072,9,5,877,743
2014,721,0.02116704805491991,770,0.014973958333333334,18,11,855,756
2015,694,0.012651821862348178,795,0.012459371614301192,12,11,975,911
2016,719,0.00510783200908059,778,0.014240506329113924,4,13,876,934
2017,719,0.00605060506050605,771,0.011691884456671253,5,8,903,718
2018,652,0.014671361502347418,841,0.008795669824086604,12,6,839,732
2019,645,0.01077943615257048,849,0.022616136919315404,6,18,596,799
